ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-11 20:00:00,438,21,76,36,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 15:00:00,1605,16,75,35,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,1476,18,61,32,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 15:00:00,2517,16,60,18,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 18:00:00,980,19,55,19,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 16:00:00,2588,17,53,18,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-07 14:00:00,2181,15,34,16,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-12 08:00:00,516,9,34,10,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 11:00:00,3693,12,33,39,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 12:00:00,2397,13,33,19,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-26 14:00:00,2776,15,33,10,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 14:00:00,1569,15,32,14,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 11:00:00,2090,12,32,13,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,2611,13,32,13,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 10:00:00,1746,11,32,7,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-07 17:00:00,651,18,29,6,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 17:00:00,1453,18,28,29,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 12:00:00,3228,13,28,23,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
