ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-11 20:00:00,36,21,76,438,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 15:00:00,35,16,75,1605,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,32,18,61,1476,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 15:00:00,18,16,60,2517,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 18:00:00,19,19,55,980,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 16:00:00,18,17,53,2588,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-07 14:00:00,16,15,34,2181,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-12 08:00:00,10,9,34,516,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 11:00:00,39,12,33,3693,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 12:00:00,19,13,33,2397,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-26 14:00:00,10,15,33,2776,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 14:00:00,14,15,32,1569,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 11:00:00,13,12,32,2090,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,13,13,32,2611,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 10:00:00,7,11,32,1746,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-07 17:00:00,6,18,29,651,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 17:00:00,29,18,28,1453,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 12:00:00,23,13,28,3228,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 14:00:00,21,15,50,3409,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 13:00:00,21,14,50,3282,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 11:00:00,8,12,49,1746,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-10 16:00:00,42,17,47,1850,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-27 10:00:00,21,11,47,1793,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 13:00:00,25,14,46,2970,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 16:00:00,13,17,46,1533,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 17:00:00,9,18,44,951,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-14 14:00:00,54,15,27,2755,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-15 12:00:00,45,13,27,4453,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 16:00:00,44,17,27,3118,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-10 17:00:00,39,18,27,1578,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-13 10:00:00,35,11,27,2420,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-08 09:00:00,23,10,27,1337,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 14:00:00,12,15,27,1960,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 16:00:00,9,17,27,1458,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-08 16:00:00,6,17,27,1574,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 15:00:00,2,16,27,1450,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-05 17:00:00,72,18,26,1490,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-24 10:00:00,42,11,26,2160,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-29 17:00:00,37,18,26,1259,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 14:00:00,27,15,26,2878,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-27 11:00:00,13,12,26,2158,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-08 17:00:00,10,18,26,875,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 11:00:00,22,12,38,2586,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-01 17:00:00,7,18,38,1270,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-28 16:00:00,19,17,36,1280,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
