ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-23 18:00:00,296,19,33,704,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 05:00:00,68,6,33,51,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 09:00:00,126,10,29,303,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 10:00:00,166,11,49,341,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 13:00:00,390,14,26,1307,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,224,13,26,591,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 16:00:00,1646,17,25,752,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 08:00:00,96,9,37,209,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 11:00:00,172,12,43,436,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-10 11:00:00,419,12,25,1008,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-27 17:00:00,226,18,24,561,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-29 17:00:00,180,18,19,672,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 20:00:00,50,21,19,182,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 16:00:00,74,17,21,354,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-05 09:00:00,385,10,18,484,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 10:00:00,328,11,18,637,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 12:00:00,456,13,20,1271,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-15 15:00:00,257,16,20,541,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-05 16:00:00,479,17,13,1312,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-10 15:00:00,408,16,13,746,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-02 10:00:00,387,11,13,961,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-26 16:00:00,386,17,13,1370,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 19:00:00,231,20,13,488,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 18:00:00,194,19,13,589,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 14:00:00,167,15,13,614,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-02 15:00:00,415,16,17,1171,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-02 12:00:00,406,13,17,1205,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-24 17:00:00,334,18,17,996,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 20:00:00,149,21,17,513,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 14:00:00,272,15,15,666,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-14 15:00:00,93,16,16,312,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-28 05:00:00,28,6,16,64,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-14 16:00:00,132,17,13,433,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 19:00:00,123,20,13,259,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 11:00:00,74,12,13,238,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-15 16:00:00,333,17,16,707,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-09 13:00:00,446,14,14,1187,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-25 15:00:00,444,16,14,1337,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 14:00:00,376,15,14,1434,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 08:00:00,303,9,14,290,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 17:00:00,288,18,14,558,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-27 18:00:00,279,19,14,618,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-27 16:00:00,240,17,14,880,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-29 16:00:00,202,17,14,695,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 16:00:00,157,17,14,794,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 13:00:00,1164,14,10,772,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-02 14:00:00,422,15,10,1003,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 11:00:00,373,12,10,908,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-03 12:00:00,333,13,10,1026,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-16 10:00:00,307,11,10,1025,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-25 18:00:00,296,19,10,807,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 08:00:00,294,9,10,218,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-27 10:00:00,289,11,10,955,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-25 19:00:00,265,20,10,676,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 15:00:00,139,16,10,805,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 07:00:00,131,8,10,114,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-10 14:00:00,423,15,9,975,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 13:00:00,388,14,9,1187,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,358,16,9,834,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,350,18,9,966,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 15:00:00,322,16,9,1042,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-03 21:00:00,281,22,9,301,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-26 19:00:00,280,20,9,570,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 07:00:00,181,8,9,238,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-14 10:00:00,89,11,9,166,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 14:00:00,67,15,9,321,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 13:00:00,97,14,10,322,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 20:00:00,54,21,10,227,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 16:00:00,412,17,11,1273,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 18:00:00,302,19,11,677,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-02 08:00:00,296,9,11,494,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-24 16:00:00,295,17,11,1059,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-30 09:00:00,291,10,11,525,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 14:00:00,235,15,11,950,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 17:00:00,465,18,12,1163,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-02 13:00:00,433,14,12,1118,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-15 17:00:00,430,18,12,873,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 12:00:00,407,13,12,1472,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-30 10:00:00,292,11,12,912,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-14 20:00:00,132,21,11,329,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 21:00:00,29,22,11,170,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-27 21:00:00,53,22,9,154,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 17:00:00,161,18,7,744,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-14 09:00:00,50,10,8,142,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 19:00:00,148,20,7,236,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-11 17:00:00,102,18,7,253,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 05:00:00,43,6,7,57,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 04:00:00,26,5,7,38,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-26 04:00:00,30,5,8,23,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-14 06:00:00,17,7,8,38,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 13:00:00,440,14,8,1478,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-27 15:00:00,428,16,8,1299,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-13 06:00:00,23,7,9,61,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-09 12:00:00,415,13,8,1150,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-10 16:00:00,502,17,7,993,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-04 10:00:00,486,11,7,1280,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 13:00:00,352,14,8,1201,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 12:00:00,480,13,7,1172,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 11:00:00,332,12,8,917,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-03 13:00:00,319,14,8,925,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
