ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-07 18:00:00,2116,19,172,92,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-23 19:00:00,2097,20,125,92,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,1367,18,103,84,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 18:00:00,2010,19,95,177,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-07 19:00:00,1805,20,90,186,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-23 16:00:00,2354,17,90,173,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-30 16:00:00,1789,17,81,21,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 12:00:00,3801,13,79,129,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 15:00:00,2855,16,78,89,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 18:00:00,1403,19,71,155,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 21:00:00,995,22,69,171,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 18:00:00,1343,19,65,210,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 20:00:00,1279,21,65,92,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-08 14:00:00,2324,15,64,41,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 17:00:00,1929,18,63,136,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 13:00:00,3212,14,60,83,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,1797,16,59,115,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-30 17:00:00,1715,18,58,81,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 18:00:00,1873,19,57,186,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 12:00:00,2125,13,56,106,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 16:00:00,2125,17,53,86,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-25 12:00:00,3086,13,52,262,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 13:00:00,3131,14,52,140,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 19:00:00,1272,20,33,195,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-27 10:00:00,1449,11,33,144,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 12:00:00,1968,13,33,143,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-28 09:00:00,425,10,33,91,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-28 19:00:00,1319,20,33,62,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 20:00:00,1200,21,33,49,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 13:00:00,3416,14,32,187,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 20:00:00,930,21,32,181,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 12:00:00,2548,13,32,171,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-16 08:00:00,744,9,29,107,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-28 17:00:00,1599,18,29,89,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 12:00:00,2594,13,29,62,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-05 17:00:00,1724,18,29,59,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 15:00:00,1923,16,29,52,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 13:00:00,1521,14,29,27,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 14:00:00,1814,15,29,11,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-25 16:00:00,2345,17,28,291,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 13:00:00,2647,14,28,157,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-29 16:00:00,1687,17,28,142,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-16 14:00:00,1938,15,28,137,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-02 14:00:00,1933,15,28,102,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 22:00:00,575,23,28,74,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 14:00:00,2458,15,28,26,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 11:00:00,2021,12,27,240,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 12:00:00,2838,13,27,171,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-02 08:00:00,673,9,27,143,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-03 08:00:00,644,9,27,140,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-15 08:00:00,609,9,27,118,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 17:00:00,1569,18,27,91,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 12:00:00,2690,13,50,91,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-30 12:00:00,2519,13,49,138,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 20:00:00,1211,21,49,83,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 16:00:00,2433,17,49,65,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-06 15:00:00,3262,16,49,21,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-28 00:00:00,682,1,48,39,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-31 11:00:00,2630,12,47,188,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-26 12:00:00,1708,13,46,185,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,1427,19,46,167,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-15 12:00:00,3599,13,46,165,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 08:00:00,889,9,46,99,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 19:00:00,1769,20,45,240,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 11:00:00,1994,12,45,112,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 10:00:00,876,11,44,101,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-31 15:00:00,2506,16,44,53,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 18:00:00,1692,19,43,215,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,955,22,43,177,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 18:00:00,1196,19,27,77,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-07 21:00:00,435,22,27,67,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-30 10:00:00,1380,11,26,174,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-01 14:00:00,1917,15,26,154,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-14 11:00:00,1262,12,26,114,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 15:00:00,2269,16,26,32,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 12:00:00,1827,13,38,122,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-06 19:00:00,1171,20,37,227,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-28 15:00:00,3125,16,37,105,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-16 09:00:00,1177,10,36,169,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-27 18:00:00,1862,19,36,129,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 15:00:00,2530,16,36,105,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 14:00:00,2340,15,36,82,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,1732,18,36,59,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 10:00:00,1290,11,35,187,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-30 11:00:00,1907,12,35,186,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-02 10:00:00,1444,11,35,121,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-02 11:00:00,1870,12,34,82,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-29 17:00:00,1451,18,31,247,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 10:00:00,1846,11,31,189,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-07 17:00:00,1438,18,31,180,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-26 09:00:00,688,10,31,171,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-08 19:00:00,1250,20,31,150,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 17:00:00,1729,18,31,87,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-08 16:00:00,1799,17,31,26,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 14:00:00,1875,15,30,161,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 12:00:00,2256,13,30,131,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-01 19:00:00,1670,20,30,95,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-08 13:00:00,2408,14,30,66,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 09:00:00,949,10,29,176,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 13:00:00,2927,14,43,167,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 14:00:00,1839,15,43,18,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-14 16:00:00,1647,17,42,194,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 17:00:00,1626,18,42,192,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-28 11:00:00,1126,12,42,151,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-26 11:00:00,1966,12,41,253,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 10:00:00,1234,11,41,183,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 13:00:00,2132,14,41,91,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 14:00:00,2764,15,41,70,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 12:00:00,2745,13,40,226,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-26 08:00:00,388,9,40,150,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 14:00:00,2659,15,40,147,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 18:00:00,1519,19,39,207,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 13:00:00,1517,14,39,123,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-26 18:00:00,1891,19,38,191,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-05 20:00:00,1118,21,25,241,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
