ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-07 18:00:00,92,19,172,2116,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-23 19:00:00,92,20,125,2097,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,84,18,103,1367,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 18:00:00,177,19,95,2010,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-07 19:00:00,186,20,90,1805,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-23 16:00:00,173,17,90,2354,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-30 16:00:00,21,17,81,1789,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 12:00:00,129,13,79,3801,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 15:00:00,89,16,78,2855,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 18:00:00,155,19,71,1403,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 21:00:00,171,22,69,995,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 18:00:00,210,19,65,1343,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 20:00:00,92,21,65,1279,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-08 14:00:00,41,15,64,2324,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 17:00:00,136,18,63,1929,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 13:00:00,83,14,60,3212,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,115,16,59,1797,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-30 17:00:00,81,18,58,1715,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 18:00:00,186,19,57,1873,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 12:00:00,106,13,56,2125,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 16:00:00,86,17,53,2125,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-25 12:00:00,262,13,52,3086,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 13:00:00,140,14,52,3131,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 19:00:00,195,20,33,1272,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-27 10:00:00,144,11,33,1449,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 12:00:00,143,13,33,1968,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-28 09:00:00,91,10,33,425,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-28 19:00:00,62,20,33,1319,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 20:00:00,49,21,33,1200,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 13:00:00,187,14,32,3416,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 20:00:00,181,21,32,930,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 12:00:00,171,13,32,2548,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-16 08:00:00,107,9,29,744,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-28 17:00:00,89,18,29,1599,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 12:00:00,62,13,29,2594,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-05 17:00:00,59,18,29,1724,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 15:00:00,52,16,29,1923,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 13:00:00,27,14,29,1521,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 14:00:00,11,15,29,1814,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-25 16:00:00,291,17,28,2345,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 13:00:00,157,14,28,2647,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-29 16:00:00,142,17,28,1687,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-16 14:00:00,137,15,28,1938,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-02 14:00:00,102,15,28,1933,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 22:00:00,74,23,28,575,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 14:00:00,26,15,28,2458,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 11:00:00,240,12,27,2021,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 12:00:00,171,13,27,2838,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-02 08:00:00,143,9,27,673,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-03 08:00:00,140,9,27,644,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-15 08:00:00,118,9,27,609,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 17:00:00,91,18,27,1569,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 12:00:00,91,13,50,2690,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-30 12:00:00,138,13,49,2519,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 20:00:00,83,21,49,1211,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 16:00:00,65,17,49,2433,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-06 15:00:00,21,16,49,3262,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-28 00:00:00,39,1,48,682,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-31 11:00:00,188,12,47,2630,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-26 12:00:00,185,13,46,1708,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,167,19,46,1427,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-15 12:00:00,165,13,46,3599,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 08:00:00,99,9,46,889,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 19:00:00,240,20,45,1769,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 11:00:00,112,12,45,1994,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 10:00:00,101,11,44,876,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-31 15:00:00,53,16,44,2506,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 18:00:00,215,19,43,1692,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,177,22,43,955,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 18:00:00,77,19,27,1196,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-07 21:00:00,67,22,27,435,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-30 10:00:00,174,11,26,1380,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-01 14:00:00,154,15,26,1917,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-14 11:00:00,114,12,26,1262,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 15:00:00,32,16,26,2269,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 12:00:00,122,13,38,1827,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-06 19:00:00,227,20,37,1171,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-28 15:00:00,105,16,37,3125,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-16 09:00:00,169,10,36,1177,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-27 18:00:00,129,19,36,1862,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 15:00:00,105,16,36,2530,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 14:00:00,82,15,36,2340,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,59,18,36,1732,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 10:00:00,187,11,35,1290,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
