ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-23 18:00:00,28,19,450,1233,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 08:00:00,27,9,318,1731,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-31 08:00:00,26,9,254,1571,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-04 08:00:00,25,9,339,1805,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-12 08:00:00,25,9,346,1582,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 19:00:00,34,20,458,688,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 08:00:00,24,9,287,1725,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 17:00:00,18,18,402,1877,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 08:00:00,18,9,317,1641,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 15:00:00,18,16,137,1578,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,18,13,360,1562,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 09:00:00,18,10,265,1440,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 07:00:00,18,8,159,932,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,18,22,348,801,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,22,20,197,1016,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,22,8,112,865,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-02 17:00:00,21,18,379,1995,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,19,18,526,2037,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 08:00:00,19,9,373,1840,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 17:00:00,19,18,422,1756,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 11:00:00,19,12,196,989,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 07:00:00,21,8,156,1022,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-06 13:00:00,17,14,370,1579,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-29 13:00:00,17,14,255,1530,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 12:00:00,17,13,517,1456,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 18:00:00,17,19,357,1451,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 09:00:00,17,10,278,1433,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 17:00:00,20,18,173,1665,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 09:00:00,20,10,422,1453,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 19:00:00,20,20,312,1121,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 14:00:00,13,15,147,1593,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 14:00:00,13,15,369,1497,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-27 15:00:00,13,16,452,1477,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-12 18:00:00,13,19,308,1473,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-16 10:00:00,13,11,227,1458,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-24 18:00:00,13,19,434,1374,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,13,10,217,1351,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-30 12:00:00,13,13,694,1244,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 18:00:00,13,19,190,1234,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 19:00:00,13,20,365,1169,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 09:00:00,13,10,148,914,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 20:00:00,13,21,252,863,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-10 19:00:00,15,20,385,1244,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 20:00:00,15,21,404,1097,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 19:00:00,17,20,371,1173,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-08 19:00:00,15,20,286,946,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 20:00:00,17,21,306,897,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 07:00:00,15,8,133,767,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 02:00:00,15,3,450,341,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-24 16:00:00,13,17,342,1800,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 13:00:00,13,14,420,1799,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 15:00:00,13,16,368,1741,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-24 13:00:00,13,14,336,1660,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 13:00:00,13,14,487,1645,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-06 12:00:00,14,13,378,1679,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-27 14:00:00,15,15,380,1620,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-30 18:00:00,15,19,335,1381,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 17:00:00,12,18,496,2190,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 14:00:00,12,15,489,1796,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-10 14:00:00,12,15,356,1707,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-24 11:00:00,12,12,318,1549,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-13 11:00:00,16,12,303,1459,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 11:00:00,16,12,172,1306,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 20:00:00,16,21,259,987,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 19:00:00,16,20,201,981,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 07:00:00,16,8,116,833,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 16:00:00,14,17,435,1632,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-01 17:00:00,14,18,386,1583,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-16 09:00:00,14,10,321,1571,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-26 08:00:00,14,9,240,1562,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-02 10:00:00,14,11,241,1500,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-16 12:00:00,14,13,369,1483,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-08 10:00:00,14,11,361,1441,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-11 14:00:00,14,15,309,1411,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 14:00:00,14,15,273,1397,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-07 18:00:00,14,19,384,1137,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-05 20:00:00,14,21,481,1052,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-10 16:00:00,11,17,333,2011,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-31 17:00:00,11,18,526,1900,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-02 16:00:00,11,17,386,1887,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 17:00:00,11,18,402,1788,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-03 08:00:00,11,9,315,1686,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-05 13:00:00,11,14,395,1526,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,11,19,385,1506,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-02 12:00:00,11,13,454,1462,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-26 09:00:00,11,10,284,1460,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-05 18:00:00,11,19,422,1423,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 15:00:00,11,16,508,1396,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 13:00:00,11,14,280,1389,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-03 09:00:00,11,10,251,1371,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-13 10:00:00,11,11,270,1360,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-14 14:00:00,11,15,276,1357,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-05 09:00:00,12,10,271,1483,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 19:00:00,11,20,378,1346,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-31 10:00:00,10,11,243,1494,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
