ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-23 18:00:00,450,19,28,1233,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 08:00:00,318,9,27,1731,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-31 08:00:00,254,9,26,1571,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-04 08:00:00,339,9,25,1805,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-12 08:00:00,346,9,25,1582,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 19:00:00,458,20,34,688,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 08:00:00,287,9,24,1725,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 17:00:00,402,18,18,1877,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 08:00:00,317,9,18,1641,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 15:00:00,137,16,18,1578,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,360,13,18,1562,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 09:00:00,265,10,18,1440,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 07:00:00,159,8,18,932,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,348,22,18,801,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,197,20,22,1016,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,112,8,22,865,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-02 17:00:00,379,18,21,1995,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,526,18,19,2037,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 08:00:00,373,9,19,1840,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 17:00:00,422,18,19,1756,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 11:00:00,196,12,19,989,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 07:00:00,156,8,21,1022,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-06 13:00:00,370,14,17,1579,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-29 13:00:00,255,14,17,1530,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 12:00:00,517,13,17,1456,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 18:00:00,357,19,17,1451,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 09:00:00,278,10,17,1433,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 17:00:00,173,18,20,1665,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 09:00:00,422,10,20,1453,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 19:00:00,312,20,20,1121,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 14:00:00,147,15,13,1593,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 14:00:00,369,15,13,1497,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-27 15:00:00,452,16,13,1477,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-12 18:00:00,308,19,13,1473,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-16 10:00:00,227,11,13,1458,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-24 18:00:00,434,19,13,1374,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,217,10,13,1351,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-30 12:00:00,694,13,13,1244,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 18:00:00,190,19,13,1234,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 19:00:00,365,20,13,1169,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 09:00:00,148,10,13,914,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 20:00:00,252,21,13,863,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-10 19:00:00,385,20,15,1244,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 20:00:00,404,21,15,1097,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 19:00:00,371,20,17,1173,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-08 19:00:00,286,20,15,946,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 20:00:00,306,21,17,897,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 07:00:00,133,8,15,767,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 02:00:00,450,3,15,341,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-24 16:00:00,342,17,13,1800,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 13:00:00,420,14,13,1799,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 15:00:00,368,16,13,1741,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-24 13:00:00,336,14,13,1660,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 13:00:00,487,14,13,1645,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-06 12:00:00,378,13,14,1679,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-27 14:00:00,380,15,15,1620,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-30 18:00:00,335,19,15,1381,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-24 17:00:00,496,18,12,2190,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 14:00:00,489,15,12,1796,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-10 14:00:00,356,15,12,1707,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-24 11:00:00,318,12,12,1549,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-13 11:00:00,303,12,16,1459,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 11:00:00,172,12,16,1306,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 20:00:00,259,21,16,987,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 19:00:00,201,20,16,981,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 07:00:00,116,8,16,833,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 16:00:00,435,17,14,1632,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-01 17:00:00,386,18,14,1583,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-16 09:00:00,321,10,14,1571,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-26 08:00:00,240,9,14,1562,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
