ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-23 18:00:00,1233,19,28,450,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 08:00:00,1731,9,27,318,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-31 08:00:00,1571,9,26,254,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-04 08:00:00,1805,9,25,339,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-12 08:00:00,1582,9,25,346,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 19:00:00,688,20,34,458,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 08:00:00,1725,9,24,287,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 17:00:00,1877,18,18,402,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 08:00:00,1641,9,18,317,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 15:00:00,1578,16,18,137,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 12:00:00,1562,13,18,360,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 09:00:00,1440,10,18,265,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 07:00:00,932,8,18,159,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,801,22,18,348,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,1016,20,22,197,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,865,8,22,112,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-02 17:00:00,1995,18,21,379,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,2037,18,19,526,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 08:00:00,1840,9,19,373,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 17:00:00,1756,18,19,422,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 11:00:00,989,12,19,196,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 07:00:00,1022,8,21,156,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-06 13:00:00,1579,14,17,370,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
