ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-29 17:00:00,2099,18,35,499,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 20:00:00,1376,21,30,310,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 18:00:00,2050,19,39,514,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 15:00:00,2211,16,24,639,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 19:00:00,1702,20,24,425,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 17:00:00,8,18,24,1035,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 17:00:00,40,18,19,954,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-12 17:00:00,4,18,19,1088,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 16:00:00,1861,17,21,683,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 08:00:00,92,9,19,431,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-13 09:00:00,80,10,19,440,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-03 19:00:00,143,20,18,990,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-11 08:00:00,177,9,13,740,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-23 18:00:00,158,19,13,690,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 21:00:00,125,22,14,431,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 08:00:00,73,9,14,401,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 18:00:00,200,19,17,1237,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-03 17:00:00,126,18,17,1178,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-25 18:00:00,23,19,17,737,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 15:00:00,19,16,17,864,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-24 18:00:00,19,19,14,594,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-08 18:00:00,12,19,14,724,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 11:00:00,7,12,14,909,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-12 16:00:00,6,17,14,1220,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-23 16:00:00,6,17,14,804,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-07 17:00:00,16,18,15,277,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-26 12:00:00,7,13,15,1057,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 15:00:00,14,16,16,1405,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-28 12:00:00,143,13,13,350,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-02 20:00:00,109,21,13,760,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 20:00:00,92,21,13,408,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-02 11:00:00,21,12,13,750,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 10:00:00,17,11,13,640,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-28 14:00:00,16,15,13,832,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-15 13:00:00,15,14,13,992,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 16:00:00,14,17,13,1228,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 14:00:00,10,15,13,1033,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 14:00:00,5,15,13,1132,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-30 16:00:00,0,17,13,1089,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 19:00:00,183,20,16,398,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-11 18:00:00,30,19,12,863,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 12:00:00,29,13,12,888,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-11 17:00:00,24,18,12,734,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 09:00:00,22,10,12,318,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 20:00:00,13,21,12,299,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 12:00:00,12,13,12,917,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-27 13:00:00,11,14,12,1144,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-15 17:00:00,9,18,12,921,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 19:00:00,9,20,12,434,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 12:00:00,8,13,12,1070,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-08 11:00:00,7,12,12,982,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 12:00:00,10,13,10,1112,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-01 15:00:00,7,16,10,981,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-06 13:00:00,6,14,10,1438,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-01 16:00:00,5,17,10,903,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-30 17:00:00,4,18,10,783,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 21:00:00,814,22,9,258,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 09:00:00,71,10,9,379,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 09:00:00,64,10,9,451,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 07:00:00,106,8,10,303,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 08:00:00,50,9,10,378,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 08:00:00,42,9,10,522,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
