ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-27 15:00:00,58,16,1455,1866,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-23 18:00:00,54,19,855,1895,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 18:00:00,52,19,704,1491,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-30 08:00:00,33,9,813,2303,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 13:00:00,33,14,1611,2097,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 12:00:00,33,13,1168,1899,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 15:00:00,33,16,1616,1816,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 08:00:00,33,9,602,1684,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 14:00:00,32,15,1647,1949,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 13:00:00,32,14,1303,1907,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-07 17:00:00,32,18,706,1788,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 08:00:00,32,9,802,1548,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 17:00:00,32,18,1077,1462,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 18:00:00,31,19,743,2061,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 12:00:00,31,13,1288,1923,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 18:00:00,31,19,591,1913,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 16:00:00,31,17,1466,1819,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 17:00:00,31,18,992,1812,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 14:00:00,31,15,1062,1679,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-02 18:00:00,31,19,723,1635,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 16:00:00,28,17,679,2022,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,28,8,460,1745,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 08:00:00,28,9,808,1713,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-01 19:00:00,28,20,595,1189,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-31 19:00:00,28,20,706,272,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 17:00:00,27,18,970,2083,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-05 16:00:00,27,17,1101,2044,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 11:00:00,27,12,995,1920,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 10:00:00,27,11,1144,1645,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-02 19:00:00,27,20,866,1423,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-15 22:00:00,27,23,322,447,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 13:00:00,45,14,1245,1857,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 18:00:00,44,19,894,1726,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,43,20,801,1343,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 11:00:00,26,12,1753,2010,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-13 10:00:00,26,11,674,1913,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 13:00:00,26,14,1131,1694,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,26,10,541,1627,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-08 15:00:00,26,16,956,1580,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 16:00:00,26,17,968,1538,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 09:00:00,26,10,228,1376,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 12:00:00,25,13,2418,2155,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-28 17:00:00,25,18,826,1857,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-29 17:00:00,25,18,757,1720,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 09:00:00,25,10,109,1613,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-29 15:00:00,25,16,1079,1551,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 08:00:00,37,9,963,2487,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 08:00:00,37,9,782,2306,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 09:00:00,37,10,795,1840,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 14:00:00,37,15,492,1642,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 17:00:00,36,18,909,2579,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 17:00:00,36,18,1028,2331,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 18:00:00,36,19,1174,1376,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-01 18:00:00,31,19,673,1412,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 18:00:00,31,19,1196,1410,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 14:00:00,30,15,1098,2154,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-26 17:00:00,30,18,1285,1976,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 12:00:00,30,13,1658,1899,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 19:00:00,30,20,805,1013,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 15:00:00,29,16,1730,2324,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 14:00:00,29,15,1581,2127,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 15:00:00,29,16,1059,1646,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,29,18,982,1639,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 18:00:00,29,19,1020,1529,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 18:00:00,29,19,750,1441,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-31 08:00:00,40,9,1035,2513,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-23 19:00:00,40,20,667,1271,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 13:00:00,39,14,1136,1804,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 08:00:00,38,9,1008,1962,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-31 17:00:00,38,18,1326,1948,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 20:00:00,38,21,622,1144,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-01 17:00:00,25,18,693,1514,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-07 09:00:00,25,10,378,930,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 16:00:00,24,17,1030,2369,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 08:00:00,24,9,570,2116,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 15:00:00,24,16,1081,2100,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-23 15:00:00,24,16,465,1988,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 14:00:00,24,15,982,1977,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-15 11:00:00,24,12,1075,1938,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 16:00:00,24,17,767,1706,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-29 18:00:00,24,19,772,1622,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 15:00:00,24,16,824,1533,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-28 19:00:00,24,20,809,1450,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-26 07:00:00,24,8,334,1436,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-26 08:00:00,23,9,788,2246,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-25 15:00:00,23,16,1097,2134,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 12:00:00,23,13,1067,2061,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 13:00:00,23,14,976,1994,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 14:00:00,23,15,1635,1954,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-26 11:00:00,23,12,1376,1874,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 13:00:00,23,14,1230,1713,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 12:00:00,23,13,1099,1696,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-07 14:00:00,23,15,883,1613,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-03 09:00:00,23,10,600,1608,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 18:00:00,23,19,919,1606,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-30 16:00:00,23,17,984,1569,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-12 17:00:00,23,18,935,1545,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 10:00:00,23,11,932,1417,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 20:00:00,23,21,606,1021,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-11 08:00:00,22,9,794,2164,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 08:00:00,22,9,127,2069,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-27 17:00:00,22,18,974,1741,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-30 14:00:00,22,15,972,1613,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-08 11:00:00,22,12,826,1315,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 10:00:00,18,11,1689,1969,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-24 17:00:00,18,18,548,1861,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 11:00:00,18,12,842,1779,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 10:00:00,18,11,1128,1706,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 09:00:00,18,10,693,1608,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-02 11:00:00,18,12,337,1522,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-01 13:00:00,18,14,951,1386,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 09:00:00,18,10,553,1378,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-07 16:00:00,18,17,641,1352,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-15 19:00:00,18,20,671,1331,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 12:00:00,18,13,973,1317,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 17:00:00,18,18,846,1146,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 06:00:00,18,7,122,667,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
