ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-27 15:00:00,1866,16,58,1455,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-23 18:00:00,1895,19,54,855,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 18:00:00,1491,19,52,704,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-30 08:00:00,2303,9,33,813,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 13:00:00,2097,14,33,1611,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 12:00:00,1899,13,33,1168,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-31 15:00:00,1816,16,33,1616,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 08:00:00,1684,9,33,602,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-31 14:00:00,1949,15,32,1647,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-27 13:00:00,1907,14,32,1303,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-07 17:00:00,1788,18,32,706,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 08:00:00,1548,9,32,802,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 17:00:00,1462,18,32,1077,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 18:00:00,2061,19,31,743,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 12:00:00,1923,13,31,1288,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-24 18:00:00,1913,19,31,591,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 16:00:00,1819,17,31,1466,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 17:00:00,1812,18,31,992,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 14:00:00,1679,15,31,1062,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-02 18:00:00,1635,19,31,723,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-23 16:00:00,2022,17,28,679,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 07:00:00,1745,8,28,460,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 08:00:00,1713,9,28,808,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-01 19:00:00,1189,20,28,595,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-31 19:00:00,272,20,28,706,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-05 17:00:00,2083,18,27,970,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-05 16:00:00,2044,17,27,1101,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 11:00:00,1920,12,27,995,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 10:00:00,1645,11,27,1144,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-02 19:00:00,1423,20,27,866,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-15 22:00:00,447,23,27,322,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 13:00:00,1857,14,45,1245,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 18:00:00,1726,19,44,894,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-30 19:00:00,1343,20,43,801,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-31 11:00:00,2010,12,26,1753,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
