ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-05 19:00:00,23,20,255,1343,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-05 12:00:00,22,13,630,2476,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-05 07:00:00,22,8,101,419,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-05 22:00:00,19,23,1385,287,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-01 19:00:00,46,20,862,1405,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-05 21:00:00,14,22,864,546,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-05 01:00:00,5,2,37,175,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-01 13:00:00,45,14,558,2114,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-09 02:00:00,0,3,0,78,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0,0
2023-08-03 19:00:00,33,20,258,1536,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-05 00:00:00,4,1,72,277,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-01 08:00:00,42,9,238,2758,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-11 03:00:00,0,4,1,46,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-09 01:00:00,0,2,4,77,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0,0
2023-08-03 20:00:00,32,21,264,1253,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-05 06:00:00,4,7,67,206,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-01 15:00:00,38,16,1237,1664,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-12 16:00:00,214,17,940,2080,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0,0
2023-08-09 03:00:00,0,4,0,52,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0,0
2023-08-03 16:00:00,30,17,208,1391,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-05 04:00:00,3,5,25,80,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-01 07:00:00,27,8,155,1730,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-12 14:00:00,190,15,924,2448,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0,0
2023-08-01 17:00:00,68,18,1176,2784,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 14:00:00,61,15,637,1940,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 10:00:00,60,11,369,1997,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 09:00:00,55,10,283,2018,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 11:00:00,53,12,582,2348,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 12:00:00,48,13,511,2415,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 18:00:00,47,19,927,2088,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-01 16:00:00,46,17,1360,2274,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-10 17:00:00,77,18,1507,2786,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0,0
2023-08-12 15:00:00,155,16,780,1997,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0,0
2023-08-05 02:00:00,2,3,21,101,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0,0
2023-08-03 07:00:00,25,8,119,1584,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-10 18:00:00,69,19,1218,1958,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0,0
2023-08-01 20:00:00,22,21,569,1082,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0
