ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-24 14:00:00,32,15,192,901,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 17:00:00,32,18,211,822,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 19:00:00,32,20,200,710,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 16:00:00,28,17,184,314,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 18:00:00,47,19,164,1128,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 13:00:00,46,14,390,1039,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-03 17:00:00,26,18,391,223,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-11 13:00:00,26,14,592,40,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-12 13:00:00,37,14,1056,18,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-12 11:00:00,36,12,526,12,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 11:00:00,35,12,84,1408,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 17:00:00,34,18,117,462,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-09 13:00:00,31,14,190,788,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-12 15:00:00,30,16,830,12,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 12:00:00,29,13,183,683,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 09:00:00,41,10,70,916,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 15:00:00,41,16,279,783,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 10:00:00,25,11,256,36,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 11:00:00,24,12,190,1240,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 12:00:00,24,13,163,973,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 17:00:00,24,18,170,33,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
