ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-24 14:00:00,901,15,32,192,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 17:00:00,822,18,32,211,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 19:00:00,710,20,32,200,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 16:00:00,314,17,28,184,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 18:00:00,1128,19,47,164,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-24 13:00:00,1039,14,46,390,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-03 17:00:00,223,18,26,391,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-11 13:00:00,40,14,26,592,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-12 13:00:00,18,14,37,1056,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-12 11:00:00,12,12,36,526,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 11:00:00,1408,12,35,84,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 17:00:00,462,18,34,117,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-09 13:00:00,788,14,31,190,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-12 15:00:00,12,16,30,830,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 12:00:00,683,13,29,183,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 09:00:00,916,10,41,70,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 15:00:00,783,16,41,279,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 10:00:00,36,11,25,256,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 11:00:00,1240,12,24,190,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 12:00:00,973,13,24,163,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
