ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-25 17:00:00,578,18,90,1261,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-31 17:00:00,586,18,80,1559,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 16:00:00,603,17,72,1506,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-30 16:00:00,439,17,68,1188,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-27 15:00:00,387,16,68,1034,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 15:00:00,538,16,65,1275,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-08 17:00:00,351,18,64,983,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-23 19:00:00,192,20,59,706,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-25 16:00:00,584,17,58,1389,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 17:00:00,321,18,54,975,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 18:00:00,295,19,54,850,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 17:00:00,666,18,54,780,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-26 16:00:00,606,17,53,1321,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 16:00:00,477,17,53,1220,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-31 14:00:00,521,15,52,1274,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-31 12:00:00,721,13,51,1250,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-28 17:00:00,300,18,51,712,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
