ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-13 22:00:00,0,23,239,55,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 13:00:00,28,14,3351,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 23:00:00,0,0,81,54,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 10:00:00,20,11,2179,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 04:00:00,0,5,21,38,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 14:00:00,18,15,3313,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,17,16,2811,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 06:00:00,0,7,45,12,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-14 17:00:00,26,18,1563,3,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 16:00:00,14,17,2207,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 17:00:00,14,18,1416,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 15:00:00,22,16,2264,32,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 18:00:00,22,19,612,8,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 12:00:00,13,13,3349,19,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 18:00:00,13,19,573,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 08:00:00,18,9,615,58,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 14:00:00,15,15,3183,40,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 11:00:00,12,12,3143,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,9,10,1236,25,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 10:00:00,13,11,2561,68,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 19:00:00,13,20,376,4,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 20:00:00,7,21,272,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,4,7,164,15,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 20:00:00,10,21,442,28,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 11:00:00,9,12,2617,48,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 19:00:00,4,20,341,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,3,8,173,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 07:00:00,8,8,340,78,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 13:00:00,6,14,3279,36,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 08:00:00,3,9,624,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 23:00:00,1,0,54,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 16:00:00,6,17,910,5,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 21:00:00,1,22,146,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,1,6,21,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 06:00:00,4,7,144,49,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 09:00:00,3,10,962,37,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 00:00:00,1,1,19,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,0,23,100,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 21:00:00,2,22,566,72,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 22:00:00,2,23,327,72,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 04:00:00,0,5,7,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 00:00:00,2,1,56,39,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 01:00:00,2,2,30,25,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 01:00:00,0,2,8,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 02:00:00,1,3,9,33,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 02:00:00,0,3,4,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 03:00:00,0,4,1,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 03:00:00,1,4,8,23,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 12:00:00,1,13,2008,10,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
