ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-13 22:00:00,239,23,0,55,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 13:00:00,3351,14,28,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 23:00:00,81,0,0,54,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 10:00:00,2179,11,20,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 04:00:00,21,5,0,38,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-01 14:00:00,3313,15,18,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,2811,16,17,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-13 06:00:00,45,7,0,12,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-14 17:00:00,1563,18,26,3,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 16:00:00,2207,17,14,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 17:00:00,1416,18,14,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 15:00:00,2264,16,22,32,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 18:00:00,612,19,22,8,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 12:00:00,3349,13,13,19,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 18:00:00,573,19,13,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 08:00:00,615,9,18,58,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 14:00:00,3183,15,15,40,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 11:00:00,3143,12,12,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,1236,10,9,25,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 10:00:00,2561,11,13,68,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 19:00:00,376,20,13,4,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 20:00:00,272,21,7,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,164,7,4,15,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 20:00:00,442,21,10,28,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 11:00:00,2617,12,9,48,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 19:00:00,341,20,4,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,173,8,3,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 07:00:00,340,8,8,78,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 13:00:00,3279,14,6,36,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 08:00:00,624,9,3,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 23:00:00,54,0,1,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 16:00:00,910,17,6,5,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 21:00:00,146,22,1,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,21,6,1,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 06:00:00,144,7,4,49,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 09:00:00,962,10,3,37,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 00:00:00,19,1,1,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,100,23,0,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 21:00:00,566,22,2,72,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 22:00:00,327,23,2,72,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 04:00:00,7,5,0,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 00:00:00,56,1,2,39,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 01:00:00,30,2,2,25,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 01:00:00,8,2,0,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 02:00:00,9,3,1,33,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 02:00:00,4,3,0,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 03:00:00,1,4,0,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-14 03:00:00,8,4,1,23,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 12:00:00,2008,13,1,10,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-02 11:00:00,2658,12,23,27,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 10:00:00,2196,11,20,43,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-14 23:00:00,82,0,0,39,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 05:00:00,43,6,0,23,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-02 18:00:00,864,19,19,123,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-14 04:00:00,10,5,0,11,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-02 17:00:00,1909,18,18,90,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
