ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 02:00:00,0,3,8,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 12:00:00,15,13,1424,508,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 11:00:00,13,12,1074,477,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 09:00:00,12,10,837,352,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 19:00:00,12,20,373,287,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 17:00:00,9,18,845,225,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 18:00:00,8,19,459,316,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 07:00:00,8,8,104,92,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 20:00:00,6,21,276,206,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 15:00:00,5,16,908,462,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 06:00:00,5,7,45,32,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 16:00:00,4,17,977,340,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 13:00:00,3,14,1097,428,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 14:00:00,3,15,903,372,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 05:00:00,3,6,19,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 08:00:00,2,9,644,280,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 21:00:00,2,22,251,223,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 10:00:00,1,11,1399,406,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 22:00:00,1,23,114,96,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 04:00:00,1,5,5,14,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 23:00:00,0,0,136,62,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,0,2,7,15,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 00:00:00,0,1,27,10,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 02:00:00,0,3,8,9,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 03:00:00,0,4,7,2,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-03 12:00:00,19,13,1144,195,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 16:00:00,15,17,898,195,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
