ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 02:00:00,16,3,0,8,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 12:00:00,508,13,15,1424,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 11:00:00,477,12,13,1074,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 09:00:00,352,10,12,837,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 19:00:00,287,20,12,373,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 17:00:00,225,18,9,845,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 18:00:00,316,19,8,459,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 07:00:00,92,8,8,104,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 20:00:00,206,21,6,276,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 15:00:00,462,16,5,908,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 06:00:00,32,7,5,45,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 16:00:00,340,17,4,977,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 13:00:00,428,14,3,1097,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 14:00:00,372,15,3,903,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 05:00:00,8,6,3,19,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 08:00:00,280,9,2,644,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 21:00:00,223,22,2,251,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 10:00:00,406,11,1,1399,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 22:00:00,96,23,1,114,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 04:00:00,14,5,1,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 23:00:00,62,0,0,136,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,15,2,0,7,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 00:00:00,10,1,0,27,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 02:00:00,9,3,0,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 03:00:00,2,4,0,7,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-03 12:00:00,195,13,19,1144,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 16:00:00,195,17,15,898,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 20:00:00,239,21,14,557,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 17:00:00,154,18,14,774,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 14:00:00,207,15,12,1044,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 11:00:00,299,12,11,849,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 13:00:00,210,14,10,1043,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 15:00:00,206,16,9,986,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 19:00:00,242,20,8,562,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 08:00:00,289,9,7,444,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 10:00:00,419,11,6,867,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 09:00:00,350,10,4,604,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 23:00:00,120,0,4,123,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 07:00:00,188,8,3,260,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 06:00:00,89,7,3,96,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 18:00:00,281,19,2,727,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 22:00:00,77,23,2,164,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 05:00:00,52,6,2,69,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 21:00:00,112,22,1,364,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 00:00:00,38,1,1,94,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 04:00:00,37,5,1,19,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 02:00:00,37,3,0,160,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 01:00:00,17,2,0,62,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-03 03:00:00,14,4,0,23,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-04 12:00:00,651,13,21,1186,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-01 10:00:00,408,11,13,1398,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 17:00:00,432,18,12,1247,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 14:00:00,503,15,7,1987,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 12:00:00,497,13,7,1746,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 16:00:00,435,17,7,1463,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 11:00:00,431,12,7,1796,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,347,10,5,959,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 08:00:00,303,9,4,611,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
