ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-02 12:00:00,31,13,2824,219,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 19:00:00,19,20,1296,101,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 09:00:00,30,10,814,139,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 18:00:00,18,19,824,79,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 20:00:00,27,21,955,194,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 11:00:00,17,12,2286,151,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 08:00:00,26,9,541,139,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 07:00:00,16,8,166,76,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 17:00:00,23,18,1779,201,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 15:00:00,15,16,2703,75,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 19:00:00,20,20,1199,283,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 21:00:00,13,22,1208,120,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 18:00:00,17,19,1659,161,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 17:00:00,11,18,1396,41,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 16:00:00,13,17,1673,150,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 06:00:00,7,7,130,48,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
