ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-02 12:00:00,2824,13,31,219,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 19:00:00,1296,20,19,101,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 09:00:00,814,10,30,139,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 18:00:00,824,19,18,79,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 20:00:00,955,21,27,194,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 11:00:00,2286,12,17,151,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 08:00:00,541,9,26,139,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 07:00:00,166,8,16,76,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 17:00:00,1779,18,23,201,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 15:00:00,2703,16,15,75,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 19:00:00,1199,20,20,283,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 21:00:00,1208,22,13,120,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 18:00:00,1659,19,17,161,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 17:00:00,1396,18,11,41,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 16:00:00,1673,17,13,150,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 06:00:00,130,7,7,48,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 05:00:00,73,6,9,24,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 22:00:00,720,23,8,97,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 07:00:00,232,8,8,70,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 06:00:00,135,7,7,25,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 21:00:00,887,22,6,179,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,160,2,5,16,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 20:00:00,1005,21,7,4,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 04:00:00,30,5,4,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-01 18:00:00,2279,19,61,236,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 10:00:00,1455,11,46,195,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 16:00:00,1969,17,44,178,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,1912,16,37,160,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 11:00:00,1606,12,34,209,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 17:00:00,2104,18,27,246,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 20:00:00,733,21,24,176,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,875,10,17,192,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 21:00:00,536,22,17,173,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 19:00:00,1258,20,13,211,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 08:00:00,574,9,13,184,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 14:00:00,1422,15,9,52,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 23:00:00,415,0,7,43,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,461,23,7,28,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 00:00:00,142,1,6,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,302,8,5,96,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,113,7,4,37,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 02:00:00,25,3,3,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,92,6,2,23,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 01:00:00,41,2,2,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 13:00:00,812,14,1,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 12:00:00,470,13,1,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 04:00:00,8,5,0,4,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 03:00:00,8,4,0,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
