ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-08 04:00:00,0,5,14,0,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-09 14:00:00,19,15,915,36,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 03:00:00,1,4,21,2,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 16:00:00,17,17,850,15,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 21:00:00,0,22,622,17,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 03:00:00,1,4,36,70,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 23:00:00,0,0,164,20,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 17:00:00,11,18,737,2,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 04:00:00,0,5,6,17,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 04:00:00,1,5,17,67,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 22:00:00,0,23,226,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 15:00:00,8,16,809,26,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 02:00:00,0,3,65,5,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 02:00:00,0,3,141,133,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-09 20:00:00,8,21,419,7,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 03:00:00,0,4,26,3,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-09 18:00:00,8,19,526,5,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-01 16:00:00,16,17,827,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 02:00:00,0,3,80,3,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-07 17:00:00,38,18,1121,202,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-09 12:00:00,7,13,909,26,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,0,2,238,2,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 05:00:00,0,6,13,1,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-07 18:00:00,20,19,688,189,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 15:00:00,11,16,978,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 13:00:00,7,14,1043,23,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 04:00:00,0,5,24,1,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-05 09:00:00,10,10,443,106,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 08:00:00,15,9,321,98,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 08:00:00,9,9,237,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 08:00:00,6,9,284,61,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 05:00:00,0,6,13,0,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-05 08:00:00,6,9,243,73,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 07:00:00,10,8,97,59,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 19:00:00,8,20,358,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 07:00:00,6,8,122,37,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 14:00:00,32,15,1126,242,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 07:00:00,6,8,59,43,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 16:00:00,10,17,909,23,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 13:00:00,8,14,933,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 11:00:00,5,12,668,26,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 15:00:00,29,16,1104,243,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 17:00:00,6,18,823,35,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 19:00:00,9,20,558,61,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 11:00:00,5,12,782,9,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 10:00:00,4,11,642,51,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 17:00:00,28,18,1008,283,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 14:00:00,6,15,1776,2,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 13:00:00,8,14,1436,14,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 12:00:00,4,13,889,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 09:00:00,3,10,369,60,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-09 06:00:00,3,7,39,10,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
