ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-08 04:00:00,14,5,0,0,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-09 14:00:00,915,15,19,36,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 03:00:00,21,4,1,2,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 16:00:00,850,17,17,15,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 21:00:00,622,22,0,17,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 03:00:00,36,4,1,70,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 23:00:00,164,0,0,20,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 17:00:00,737,18,11,2,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 04:00:00,6,5,0,17,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 04:00:00,17,5,1,67,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 22:00:00,226,23,0,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-09 15:00:00,809,16,8,26,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 02:00:00,65,3,0,5,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 02:00:00,141,3,0,133,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-09 20:00:00,419,21,8,7,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-04 03:00:00,26,4,0,3,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-09 18:00:00,526,19,8,5,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-01 16:00:00,827,17,16,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 02:00:00,80,3,0,3,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-07 17:00:00,1121,18,38,202,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-09 12:00:00,909,13,7,26,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 01:00:00,238,2,0,2,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 05:00:00,13,6,0,1,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-07 18:00:00,688,19,20,189,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 15:00:00,978,16,11,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 13:00:00,1043,14,7,23,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 04:00:00,24,5,0,1,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-05 09:00:00,443,10,10,106,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-07 08:00:00,321,9,15,98,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-01 08:00:00,237,9,9,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 08:00:00,284,9,6,61,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-02 05:00:00,13,6,0,0,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
