ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-05 20:00:00,18,21,967,1031,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 07:00:00,17,8,167,598,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 21:00:00,14,22,750,785,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 22:00:00,14,23,845,765,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 10:00:00,13,11,488,1929,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 18:00:00,11,19,937,1440,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 16:00:00,10,17,902,1788,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 09:00:00,9,10,596,1394,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 08:00:00,9,9,369,987,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 12:00:00,7,13,886,1493,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 13:00:00,5,14,931,1429,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 19:00:00,5,20,885,1237,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 11:00:00,4,12,424,965,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 14:00:00,3,15,601,1245,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 15:00:00,2,16,265,633,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 23:00:00,1,0,576,570,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 06:00:00,1,7,74,290,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 01:00:00,1,2,54,174,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 04:00:00,1,5,24,94,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 00:00:00,0,1,77,250,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 05:00:00,0,6,38,137,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 02:00:00,0,3,31,100,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 03:00:00,0,4,9,59,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-06 11:00:00,57,12,935,1762,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 14:00:00,54,15,1213,1986,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 19:00:00,40,20,800,1290,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 10:00:00,37,11,1049,1454,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 16:00:00,32,17,1245,1844,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 17:00:00,31,18,958,1705,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 15:00:00,29,16,1052,1893,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 18:00:00,28,19,830,1474,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 13:00:00,27,14,1067,1944,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 20:00:00,26,21,580,986,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 12:00:00,23,13,1227,1986,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 22:00:00,16,23,368,548,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 08:00:00,11,9,174,576,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 09:00:00,10,10,313,999,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 21:00:00,9,22,464,822,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 07:00:00,9,8,124,458,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 06:00:00,9,7,82,246,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 05:00:00,3,6,25,105,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 03:00:00,0,4,3,28,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-11 19:00:00,8,20,429,983,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-06 00:00:00,2,1,283,359,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 03:00:00,2,4,34,102,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 23:00:00,1,0,204,315,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 01:00:00,1,2,152,234,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 04:00:00,1,5,25,79,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 02:00:00,0,3,64,135,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-07 08:00:00,38,9,756,2132,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 07:00:00,31,8,422,1539,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 10:00:00,29,11,1175,1701,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-11 06:00:00,8,7,163,580,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 21:00:00,7,22,227,604,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 22:00:00,5,23,269,503,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 20:00:00,1,21,252,806,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 23:00:00,0,0,259,308,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 05:00:00,0,6,51,205,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
