ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-05 20:00:00,1031,21,18,967,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 07:00:00,598,8,17,167,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 21:00:00,785,22,14,750,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 22:00:00,765,23,14,845,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 10:00:00,1929,11,13,488,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 18:00:00,1440,19,11,937,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 16:00:00,1788,17,10,902,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 09:00:00,1394,10,9,596,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 08:00:00,987,9,9,369,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 12:00:00,1493,13,7,886,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 13:00:00,1429,14,5,931,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 19:00:00,1237,20,5,885,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 11:00:00,965,12,4,424,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 14:00:00,1245,15,3,601,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 15:00:00,633,16,2,265,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 23:00:00,570,0,1,576,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 06:00:00,290,7,1,74,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 01:00:00,174,2,1,54,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 04:00:00,94,5,1,24,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 00:00:00,250,1,0,77,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 05:00:00,137,6,0,38,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 02:00:00,100,3,0,31,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 03:00:00,59,4,0,9,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-06 11:00:00,1762,12,57,935,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 14:00:00,1986,15,54,1213,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 19:00:00,1290,20,40,800,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 10:00:00,1454,11,37,1049,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 16:00:00,1844,17,32,1245,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 17:00:00,1705,18,31,958,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 15:00:00,1893,16,29,1052,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 18:00:00,1474,19,28,830,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
