ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-05 19:00:00,255,20,23,1343,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 12:00:00,630,13,22,2476,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 07:00:00,101,8,22,419,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 22:00:00,1385,23,19,287,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 19:00:00,862,20,46,1405,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 21:00:00,864,22,14,546,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 01:00:00,37,2,5,175,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 13:00:00,558,14,45,2114,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 02:00:00,0,3,0,78,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 19:00:00,258,20,33,1536,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 00:00:00,72,1,4,277,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 08:00:00,238,9,42,2758,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-11 03:00:00,1,4,0,46,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-09 01:00:00,4,2,0,77,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 20:00:00,264,21,32,1253,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 06:00:00,67,7,4,206,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 15:00:00,1237,16,38,1664,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-12 16:00:00,940,17,214,2080,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-09 03:00:00,0,4,0,52,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 16:00:00,208,17,30,1391,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
