ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-05 19:00:00,1343,20,23,255,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 12:00:00,2476,13,22,630,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 07:00:00,419,8,22,101,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 22:00:00,287,23,19,1385,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 19:00:00,1405,20,46,862,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 21:00:00,546,22,14,864,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 01:00:00,175,2,5,37,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 13:00:00,2114,14,45,558,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-09 02:00:00,78,3,0,0,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 19:00:00,1536,20,33,258,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 00:00:00,277,1,4,72,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-01 08:00:00,2758,9,42,238,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-11 03:00:00,46,4,0,1,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-09 01:00:00,77,2,0,4,0,22.8,8.8,0.0,0,0,0,0,0,0,1,1,0
2023-08-03 20:00:00,1253,21,32,264,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 06:00:00,206,7,4,67,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
