ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-02 12:00:00,5,13,235,500,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 13:00:00,5,14,193,411,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 11:00:00,5,12,163,351,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 10:00:00,3,11,45,58,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 16:00:00,0,17,189,234,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 06:00:00,0,7,2,188,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 09:00:00,0,10,0,142,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 05:00:00,0,6,7,110,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 01:00:00,0,2,20,109,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 03:00:00,0,4,4,88,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 08:00:00,0,9,8,83,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 04:00:00,0,5,6,62,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 02:00:00,0,3,4,48,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 00:00:00,0,1,2,31,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-01 00:00:00,0,1,6,64,0,-0.7,-3.2,0.0,1,0,0,0,0,0,0,0,1
2023-12-02 22:00:00,0,23,26,11,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 21:00:00,0,22,53,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 20:00:00,0,21,17,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 18:00:00,0,19,28,1,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 23:00:00,0,0,7,1,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 19:00:00,0,20,58,0,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 14:00:00,8,15,279,343,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 15:00:00,2,16,287,287,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 17:00:00,2,18,41,30,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 07:00:00,0,8,13,244,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-04 10:00:00,3,11,27,689,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 09:00:00,3,10,59,629,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 14:00:00,5,15,156,399,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 08:00:00,3,9,26,152,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
