ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-02 12:00:00,235,13,5,500,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 13:00:00,193,14,5,411,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 11:00:00,163,12,5,351,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 10:00:00,45,11,3,58,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 16:00:00,189,17,0,234,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 06:00:00,2,7,0,188,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 09:00:00,0,10,0,142,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 05:00:00,7,6,0,110,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 01:00:00,20,2,0,109,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 03:00:00,4,4,0,88,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 08:00:00,8,9,0,83,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 04:00:00,6,5,0,62,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 02:00:00,4,3,0,48,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 00:00:00,2,1,0,31,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-01 00:00:00,6,1,0,64,0,-0.7,-3.2,0.0,1,0,0,0,0,0,0,0,1
2023-12-02 22:00:00,26,23,0,11,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 21:00:00,53,22,0,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 20:00:00,17,21,0,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 18:00:00,28,19,0,1,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 23:00:00,7,0,0,1,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 19:00:00,58,20,0,0,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 14:00:00,279,15,8,343,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 15:00:00,287,16,2,287,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 17:00:00,41,18,2,30,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 07:00:00,13,8,0,244,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-04 10:00:00,27,11,3,689,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 09:00:00,59,10,3,629,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-03 14:00:00,156,15,5,399,0,5.7,-4.2,11.1,0,0,0,1,0,0,0,0,1
2023-12-04 08:00:00,26,9,3,152,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 19:00:00,19,20,3,2,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 17:00:00,39,18,3,1,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 18:00:00,37,19,2,0,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 21:00:00,20,22,2,0,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 15:00:00,66,16,1,752,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
