ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-02 12:00:00,500,13,5,235,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 13:00:00,411,14,5,193,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 11:00:00,351,12,5,163,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 10:00:00,58,11,3,45,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 16:00:00,234,17,0,189,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 06:00:00,188,7,0,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 09:00:00,142,10,0,0,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 05:00:00,110,6,0,7,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 01:00:00,109,2,0,20,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 03:00:00,88,4,0,4,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 08:00:00,83,9,0,8,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 04:00:00,62,5,0,6,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 02:00:00,48,3,0,4,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 00:00:00,31,1,0,2,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-01 00:00:00,64,1,0,6,0,-0.7,-3.2,0.0,1,0,0,0,0,0,0,0,1
2023-12-02 22:00:00,11,23,0,26,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 21:00:00,2,22,0,53,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 20:00:00,2,21,0,17,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 18:00:00,1,19,0,28,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 23:00:00,1,0,0,7,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 19:00:00,0,20,0,58,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 14:00:00,343,15,8,279,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 15:00:00,287,16,2,287,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
2023-12-02 17:00:00,30,18,2,41,0,4.3,-4.8,0.0,0,0,1,0,0,0,0,0,1
