ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 17:00:00,52,18,393,1237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 12:00:00,33,13,511,1204,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 18:00:00,33,19,224,1039,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 19:00:00,31,20,208,813,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,30,16,465,1076,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 16:00:00,25,17,380,1303,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 14:00:00,25,15,393,1261,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 10:00:00,24,11,518,956,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 20:00:00,24,21,236,631,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 13:00:00,22,14,482,1064,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 11:00:00,18,12,343,1220,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,18,8,128,659,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 21:00:00,18,22,230,553,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 08:00:00,13,9,426,1072,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,9,23,91,388,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,7,10,575,869,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,7,7,96,294,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,6,6,73,138,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 23:00:00,4,0,34,316,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 00:00:00,4,1,9,163,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 01:00:00,3,2,7,79,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 03:00:00,1,4,8,29,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 02:00:00,0,3,1,45,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 04:00:00,0,5,11,39,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-02 17:00:00,36,18,783,1141,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 13:00:00,32,14,1058,1009,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 16:00:00,30,17,805,1036,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 15:00:00,29,16,1047,1054,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 14:00:00,27,15,1076,968,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 18:00:00,25,19,423,932,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 08:00:00,20,9,326,982,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 09:00:00,19,10,381,856,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 19:00:00,17,20,290,753,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-16 23:00:00,3,0,41,277,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-02 20:00:00,17,21,178,709,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 11:00:00,16,12,742,989,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 12:00:00,13,13,923,977,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-16 00:00:00,3,1,19,140,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-08 19:00:00,22,20,320,724,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-06 14:00:00,40,15,382,823,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 10:00:00,12,11,113,1344,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-16 01:00:00,1,2,16,92,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-14 18:00:00,4,19,193,829,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-08 10:00:00,19,11,243,1107,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-06 10:00:00,25,11,209,522,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 07:00:00,12,8,120,655,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-10 11:00:00,12,12,679,1049,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-12 21:00:00,4,22,94,627,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-16 02:00:00,0,3,22,72,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 04:00:00,0,5,3,54,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 03:00:00,0,4,10,42,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-17 17:00:00,36,18,478,1335,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 18:00:00,31,19,231,1046,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 16:00:00,31,17,512,947,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 09:00:00,20,10,344,1048,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 13:00:00,15,14,363,1278,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 12:00:00,13,13,392,1135,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 19:00:00,13,20,161,987,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 08:00:00,12,9,339,1139,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 07:00:00,10,8,176,734,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 11:00:00,9,12,329,1086,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 10:00:00,9,11,348,1025,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 06:00:00,9,7,68,315,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 15:00:00,5,16,456,388,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 05:00:00,5,6,61,176,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 14:00:00,4,15,343,724,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 20:00:00,3,21,98,1001,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 22:00:00,3,23,76,372,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 21:00:00,2,22,55,535,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 00:00:00,1,1,33,175,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 01:00:00,1,2,21,97,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 23:00:00,0,0,38,271,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 02:00:00,0,3,23,71,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 04:00:00,0,5,12,53,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-17 03:00:00,0,4,15,49,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-18 18:00:00,51,19,167,1136,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 17:00:00,50,18,348,1533,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 08:00:00,22,9,249,1331,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 16:00:00,20,17,469,1309,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 15:00:00,16,16,541,1273,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 12:00:00,16,13,411,1134,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 19:00:00,16,20,222,926,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 09:00:00,13,10,358,1010,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 14:00:00,11,15,471,1349,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 13:00:00,11,14,401,1218,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 10:00:00,8,11,331,1010,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 11:00:00,7,12,232,647,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 20:00:00,7,21,85,404,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 22:00:00,5,23,101,496,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 21:00:00,4,22,154,624,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 00:00:00,4,1,33,163,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 23:00:00,3,0,69,423,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 07:00:00,1,8,10,1708,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 01:00:00,1,2,22,104,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-18 02:00:00,1,3,8,88,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-08 09:00:00,18,10,366,979,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-12 08:00:00,4,9,133,445,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-14 23:00:00,3,0,45,218,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-06 15:00:00,12,16,187,393,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 10:00:00,12,11,529,856,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 22:00:00,11,23,47,442,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-08 12:00:00,14,13,500,1163,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-12 05:00:00,4,6,37,84,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-14 05:00:00,3,6,55,138,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-06 13:00:00,10,14,513,489,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 07:00:00,10,8,224,622,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 21:00:00,9,22,91,549,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-08 20:00:00,12,21,157,717,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-12 18:00:00,3,19,150,540,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-14 01:00:00,2,2,18,117,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 22:00:00,1,23,26,64,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 02:00:00,0,3,10,81,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 04:00:00,0,5,15,57,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 03:00:00,0,4,7,55,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-15 09:00:00,39,10,573,1058,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 08:00:00,35,9,545,995,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 17:00:00,34,18,143,837,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 16:00:00,26,17,425,1067,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 15:00:00,25,16,414,839,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 14:00:00,22,15,639,900,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 11:00:00,20,12,397,1053,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 18:00:00,18,19,7,473,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 19:00:00,17,20,9,467,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 10:00:00,15,11,220,1017,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 20:00:00,15,21,2,299,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 07:00:00,14,8,204,738,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 13:00:00,12,14,771,965,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 12:00:00,9,13,773,1036,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 05:00:00,8,6,25,201,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 06:00:00,7,7,52,305,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 22:00:00,5,23,89,387,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 21:00:00,3,22,116,475,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 23:00:00,2,0,38,279,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 02:00:00,2,3,12,58,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 00:00:00,1,1,30,151,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 01:00:00,1,2,9,97,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 04:00:00,1,5,12,46,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 03:00:00,0,4,10,42,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
