ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-01 17:00:00,393,18,52,1237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 12:00:00,511,13,33,1204,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 18:00:00,224,19,33,1039,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 19:00:00,208,20,31,813,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 15:00:00,465,16,30,1076,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 16:00:00,380,17,25,1303,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 14:00:00,393,15,25,1261,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 10:00:00,518,11,24,956,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 20:00:00,236,21,24,631,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 13:00:00,482,14,22,1064,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 11:00:00,343,12,18,1220,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 07:00:00,128,8,18,659,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 21:00:00,230,22,18,553,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 08:00:00,426,9,13,1072,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 22:00:00,91,23,9,388,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 09:00:00,575,10,7,869,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 06:00:00,96,7,7,294,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-01 05:00:00,73,6,6,138,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
