Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2024,7,7,18,19,172,2116,92,0,19.4,8.4,2.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,19,20,125,2097,92,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,17,18,103,1367,84,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,18,19,95,2010,177,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,25,17,18,90,578,1261,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,7,19,20,90,1805,186,0,19.4,8.4,2.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,16,17,90,2354,173,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,30,16,17,81,1789,21,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,17,18,80,586,1559,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,12,13,79,3801,129,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,15,16,78,2855,89,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,11,20,21,76,438,36,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,9,15,16,75,1605,35,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,31,16,17,72,603,1506,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,8,18,19,71,1403,155,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,8,21,22,69,995,171,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,30,16,17,68,439,1188,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,27,15,16,68,387,1034,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,15,16,65,538,1275,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,14,18,19,65,1343,210,0,20.1,5.5,0.4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,7,20,21,65,1279,92,0,19.4,8.4,2.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,8,17,18,64,351,983,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,8,14,15,64,2324,41,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,17,18,63,1929,136,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,17,18,61,1476,32,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,31,13,14,60,3212,83,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,15,16,60,2517,18,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,23,19,20,59,192,706,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,9,15,16,59,1797,115,0,16.7,10.8,2.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,27,15,16,58,1455,1866,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,25,16,17,58,584,1389,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,17,18,58,1715,81,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,18,19,57,1873,186,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,27,12,13,56,2125,106,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,18,19,55,980,19,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,23,18,19,54,855,1895,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,29,17,18,54,321,975,0,21.6,5.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,29,18,19,54,295,850,0,21.6,5.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,1,17,18,54,666,780,0,16.7,8.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,26,16,17,53,606,1321,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,3,16,17,53,477,1220,0,16.2,8.1,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,26,16,17,53,2125,86,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,26,16,17,53,2588,18,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,28,18,19,52,704,1491,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,31,14,15,52,521,1274,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,25,12,13,52,3086,262,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,15,13,14,52,3131,140,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,12,13,51,721,1250,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,28,17,18,51,300,712,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,3,17,18,50,507,1293,0,16.2,8.1,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,7,14,15,34,2181,16,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,12,8,9,34,516,10,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,30,8,9,33,813,2303,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,26,13,14,33,1611,2097,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,13,12,13,33,1168,1899,0,18.5,5.5,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,31,15,16,33,1616,1816,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,29,8,9,33,602,1684,0,21.6,5.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,5,18,19,33,267,936,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,15,16,33,458,910,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,9,10,33,658,859,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,23,18,19,33,704,296,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2024,7,30,19,20,33,1272,195,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
