ds,y,Year,Month,Day,Starting time,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2023-08-01 00:00:00,3,2023,8,1,0,1,99,195,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 00:00:00,4,2023,8,1,0,1,9,163,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 00:00:00,1,2023,8,1,0,1,12,123,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 00:00:00,1,2023,8,1,0,1,19,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 00:00:00,0,2023,8,1,0,1,49,112,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 00:00:00,6,2023,8,1,0,1,142,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 00:00:00,0,2023,8,1,0,1,169,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 00:00:00,1,2023,8,1,0,1,61,54,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 01:00:00,0,2023,8,1,1,2,8,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 01:00:00,2,2023,8,1,1,2,41,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 01:00:00,0,2023,8,1,1,2,7,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 01:00:00,0,2023,8,1,1,2,25,82,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 01:00:00,1,2023,8,1,1,2,55,144,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 01:00:00,1,2023,8,1,1,2,6,86,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 01:00:00,3,2023,8,1,1,2,7,79,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 01:00:00,0,2023,8,1,1,2,79,4,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,4,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,8,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,1,45,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,5,66,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,50,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,25,87,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 02:00:00,3,2023,8,1,2,3,25,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 02:00:00,0,2023,8,1,2,3,14,60,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,3,18,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,32,52,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,1,0,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 03:00:00,1,2023,8,1,3,4,8,29,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,2,41,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,3,37,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,7,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 03:00:00,0,2023,8,1,3,4,8,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,3,24,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,7,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,8,4,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,23,9,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,11,39,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,7,67,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 04:00:00,1,2023,8,1,4,5,6,83,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 04:00:00,0,2023,8,1,4,5,12,77,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 05:00:00,0,2023,8,1,5,6,43,251,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 05:00:00,0,2023,8,1,5,6,28,56,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,29,237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 05:00:00,2,2023,8,1,5,6,92,23,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 05:00:00,6,2023,8,1,5,6,73,138,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,22,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,47,181,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 05:00:00,1,2023,8,1,5,6,21,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 06:00:00,6,2023,8,1,6,7,133,504,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 06:00:00,7,2023,8,1,6,7,96,294,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
