Year,Month,Day,Day of Week,Holiday
2025,1,1,Wednesday,New Year's Day
2025,1,2,Thursday,2nd January
2025,4,18,Friday,Good Friday
2025,5,5,Monday,Early May
2025,5,26,Monday,Spring
2025,8,4,Monday,Summer
2025,12,1,Monday,St Andrew's Day
2025,12,25,Thursday,Christmas Day
2025,12,26,Friday,Boxing Day
2024,1,1,Monday,New Year's Day
2024,1,2,Tuesday,2nd January
2024,3,29,Friday,Good Friday
2024,5,6,Monday,Early May
2024,5,27,Monday,Spring
2024,8,5,Monday,Summer
2024,12,2,Monday,St Andrew's Day
2024,12,25,Wednesday,Christmas Day
2024,12,26,Thursday,Boxing Day
2023,1,3,Tuesday,New Year's Day
2023,1,2,Monday,2nd January
2023,4,7,Friday,Good Friday
2023,5,1,Monday,Early May
2023,5,8,Monday,Coronation
2023,5,29,Monday,Spring
2023,8,7,Monday,Summer
2023,11,30,Thursday,St Andrew's Day
2023,12,25,Monday,Christmas Day
2023,12,26,Tuesday,Boxing Day
