Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sun,2024/07/06 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,172,2116,92,1
Tue,2024/07/22 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,125,2097,92,2
Tue,2024/07/22 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,103,1367,84,3
Tue,2024/07/22 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,95,2010,177,4
Thu,2024/07/24 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,90,578,1261,5
Sun,2024/07/06 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,90,1805,186,6
Tue,2024/07/22 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,90,2354,173,7
Tue,2024/07/29 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,81,1789,21,8
Wed,2024/07/30 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,80,586,1559,9
Wed,2024/07/30 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,79,3801,129,10
Tue,2024/07/22 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,78,2855,89,11
Thu,2024/07/10 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,76,438,36,12
Tue,2024/07/08 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,75,1605,35,13
Wed,2024/07/30 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,72,603,1506,14
Mon,2024/07/07 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,71,1403,155,15
Mon,2024/07/07 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,69,995,171,16
Tue,2024/07/29 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,68,439,1188,17
Sat,2024/07/26 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,68,387,1034,18
Wed,2024/07/30 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,65,538,1275,19
Sun,2024/07/13 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,65,1343,210,20
Sun,2024/07/06 23:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,65,1279,92,21
Mon,2024/07/07 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,64,351,983,22
Mon,2024/07/07 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,64,2324,41,23
Wed,2024/07/30 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,63,1929,136,24
Tue,2024/07/22 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,61,1476,32,25
Wed,2024/07/30 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,60,3212,83,26
Tue,2024/07/22 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,60,2517,18,27
Tue,2024/07/22 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,59,192,706,28
Tue,2024/07/08 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,59,1797,115,29
Sat,2024/07/26 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,58,1455,1866,30
Thu,2024/07/24 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,58,584,1389,31
Tue,2024/07/29 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,58,1715,81,32
Wed,2024/07/30 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,57,1873,186,33
Sat,2024/07/26 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,56,2125,106,34
Tue,2024/07/22 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,55,980,19,35
Tue,2024/07/22 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,54,855,1895,36
Mon,2024/07/28 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,54,321,975,37
Mon,2024/07/28 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,54,295,850,38
Mon,2024/06/30 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,54,666,780,39
Fri,2024/07/25 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,53,606,1321,40
