Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/08/12 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,239,55,1
Tue,2023/07/31 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,28,3351,16,2
Sun,2023/08/12 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,81,54,3
Tue,2023/07/31 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,20,2179,22,4
Sun,2023/08/12 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,21,38,5
Tue,2023/07/31 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,18,3313,12,6
Tue,2023/07/31 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,17,2811,10,7
Sun,2023/08/12 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,45,12,8
Mon,2023/08/13 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,26,1563,3,9
Tue,2023/07/31 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,14,2207,16,10
Tue,2023/07/31 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,14,1416,10,11
Mon,2023/08/13 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,22,2264,32,12
Mon,2023/08/13 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,22,612,8,13
Tue,2023/07/31 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,13,3349,19,14
Tue,2023/07/31 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,13,573,3,15
Mon,2023/08/13 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,18,615,58,16
Mon,2023/08/13 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,15,3183,40,17
Tue,2023/07/31 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,12,3143,10,18
Tue,2023/07/31 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,9,1236,25,19
Mon,2023/08/13 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,13,2561,68,20
Mon,2023/08/13 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,13,376,4,21
Tue,2023/07/31 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,7,272,10,22
Tue,2023/07/31 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,4,164,15,23
Mon,2023/08/13 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,10,442,28,24
Mon,2023/08/13 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,9,2617,48,25
Tue,2023/07/31 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,4,341,10,26
Tue,2023/07/31 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,173,12,27
Mon,2023/08/13 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,8,340,78,28
Mon,2023/08/13 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,6,3279,36,29
Tue,2023/07/31 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,3,624,7,30
Tue,2023/07/31 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,54,22,31
Mon,2023/08/13 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,6,910,5,32
Tue,2023/07/31 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,1,146,7,33
Tue,2023/07/31 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,1,21,1,34
Mon,2023/08/13 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,4,144,49,35
Mon,2023/08/13 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,3,962,37,36
Tue,2023/07/31 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,1,19,0,37
Tue,2023/07/31 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,100,1,38
Mon,2023/08/13 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,2,566,72,39
Mon,2023/08/13 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,2,327,72,40
