Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Fri,2024/08/15 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,37,2670,121,1
Thu,2024/08/07 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,106,85,1414,2
Wed,2024/08/13 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,37,1595,105,3
Fri,2024/08/01 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,86,1872,30,4
Fri,2024/08/15 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,37,2253,86,5
Thu,2024/07/31 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,79,673,1191,6
Sat,2024/08/02 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,37,1487,81,7
Fri,2024/08/15 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,78,721,63,8
Fri,2024/08/22 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,37,1726,66,9
Sun,2024/08/17 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,73,928,2106,10
Fri,2024/08/29 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,36,1044,1545,11
Thu,2024/08/21 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,73,442,1710,12
Mon,2024/08/04 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,36,300,1129,13
Fri,2024/08/08 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,73,492,1246,14
Sat,2024/08/09 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,36,453,1114,15
Wed,2024/08/27 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,36,248,961,16
Thu,2024/08/28 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,70,611,1214,17
Thu,2024/08/28 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,70,497,990,18
Mon,2024/08/25 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,36,1890,144,19
Sat,2024/08/30 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,36,1970,117,20
Sun,2024/08/10 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,70,1434,152,21
Wed,2024/08/06 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,69,852,2220,22
Sun,2024/08/17 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,36,727,115,23
Thu,2024/07/31 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,36,2029,82,24
Sun,2024/08/10 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,69,1298,125,25
Sun,2024/08/17 23:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,67,653,2024,26
Tue,2024/08/12 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,36,2364,41,27
Fri,2024/08/08 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,66,440,1125,28
Mon,2024/08/11 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,35,890,1656,29
Fri,2024/08/08 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,66,4173,148,30
Thu,2024/08/14 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,35,461,1540,31
Sun,2024/08/17 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,65,786,2321,32
Tue,2024/08/12 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,35,473,1402,33
Thu,2024/07/31 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,65,466,1434,34
