Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sat,2023/12/02 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,6,2965,82,1
Fri,2023/12/01 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,70,530,1521,2
Sat,2023/12/02 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,6,2644,7,3
Fri,2023/12/01 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,45,514,270,4
Fri,2023/12/01 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,44,648,295,5
Sat,2023/12/02 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,5,1263,1813,6
Fri,2023/12/01 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,42,3288,19,7
Fri,2023/12/01 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,40,290,1379,8
Sat,2023/12/02 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,5,1394,1644,9
Fri,2023/12/01 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,37,476,212,10
Sat,2023/12/02 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,5,496,908,11
Sat,2023/12/02 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,5,235,500,12
Fri,2023/12/01 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,36,938,244,13
Fri,2023/12/01 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,36,578,208,14
Sat,2023/12/02 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,5,193,411,15
Fri,2023/12/01 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,36,3620,28,16
Sat,2023/12/02 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,5,163,351,17
Sat,2023/12/02 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,5,905,315,18
Fri,2023/12/01 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,35,386,1499,19
Fri,2023/12/01 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,31,473,1357,20
Sat,2023/12/02 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,5,833,122,21
Sat,2023/12/02 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,5,2709,108,22
Fri,2023/12/01 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,28,493,1061,23
Fri,2023/12/01 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,28,486,258,24
Sat,2023/12/02 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,5,3189,82,25
Fri,2023/12/01 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,27,265,971,26
Fri,2023/12/01 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,24,114,1144,27
Sat,2023/12/02 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,5,558,65,28
Fri,2023/12/01 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,22,874,198,29
Fri,2023/12/01 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,21,3701,13,30
Sat,2023/12/02 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,5,498,45,31
Sat,2023/12/02 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,5,1942,10,32
Fri,2023/12/01 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,20,347,1074,33
Fri,2023/12/01 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,19,519,39,34
Sat,2023/12/02 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,4,1436,1590,35
Fri,2023/12/01 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,18,1860,20,36
