Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,29,371,271,1
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,25,157,490,2
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,24,484,629,3
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,24,86,477,4
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,23,407,131,5
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,20,414,111,6
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,19,164,108,7
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,18,138,98,8
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,17,347,415,9
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,17,173,123,10
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,16,364,541,11
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,16,114,535,12
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,16,844,30,13
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,15,120,22,14
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,14,365,911,15
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,14,280,107,16
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,13,167,104,17
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,13,107,82,18
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,12,97,288,19
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,12,73,34,20
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,11,77,379,21
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,11,438,134,22
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,11,382,85,23
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,11,104,83,24
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,10,134,141,25
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,9,489,357,26
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,9,613,82,27
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,9,171,56,28
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,8,547,572,29
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,8,32,446,30
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,8,390,183,31
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,8,429,136,32
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,8,275,70,33
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,8,294,50,34
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,8,113,33,35
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,8,85,16,36
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,7,132,462,37
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,7,593,191,38
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,7,80,191,39
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,7,463,95,40
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,7,96,85,41
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,6,55,448,42
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,6,288,20,43
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,5,385,645,44
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,5,40,516,45
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,5,134,433,46
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,5,156,158,47
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,5,828,140,48
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,5,828,118,49
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,5,796,19,50
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,1,142,582,51
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,1,203,474,52
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,1,38,343,53
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,1,84,264,54
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,1,603,255,55
Mon,2024/01/01 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,1,135,175,56
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,1,165,138,57
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,1,29,115,58
Mon,2024/01/01 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,1,16,112,59
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,1,151,109,60
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,1,53,95,61
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,1,255,85,62
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,1,183,72,63
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,1,66,66,64
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,1,59,60,65
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,795,45,66
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,1,211,40,67
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,48,40,68
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,1,810,33,69
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,1,15,33,70
