Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sat,2024/03/30 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,40,593,2113,1
Sun,2024/03/31 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,132,685,791,2
Mon,2024/03/18 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,40,1118,1822,3
Sat,2024/03/30 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,40,1132,1812,4
Tue,2024/03/05 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,40,233,1451,5
Wed,2024/03/13 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,40,292,1369,6
Tue,2024/03/12 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,40,222,1226,7
Tue,2024/03/12 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,40,171,1083,8
Sun,2024/03/03 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,40,184,1010,9
Tue,2024/03/12 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,40,1792,264,10
Sun,2024/03/31 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,120,564,709,11
Tue,2024/03/19 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,40,1806,210,12
Sun,2024/03/31 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,40,1011,125,13
Mon,2024/03/11 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,107,339,1457,14
Fri,2024/03/22 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,106,272,1581,15
Thu,2024/03/21 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,39,764,1254,16
Wed,2024/03/13 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,39,363,1205,17
Sat,2024/03/23 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,103,271,1200,18
Mon,2024/03/11 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,86,161,1393,19
Fri,2024/03/01 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,39,559,966,20
Fri,2024/03/22 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,39,164,719,21
Sat,2024/03/23 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,85,230,1228,22
Mon,2024/03/04 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,71,360,1258,23
Thu,2024/03/07 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,39,849,328,24
Thu,2024/03/07 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,39,1092,275,25
Mon,2024/03/18 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,69,1284,97,26
Tue,2024/03/26 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,68,122,0,27
Fri,2024/03/22 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,39,997,209,28
Sun,2024/03/31 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,39,1028,205,29
Sat,2024/03/23 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,67,374,1194,30
Wed,2024/03/13 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,67,15,1065,31
Fri,2024/03/22 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,39,1862,114,32
Tue,2024/03/05 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,39,2490,16,33
Sun,2024/03/31 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,67,359,966,34
Mon,2024/03/04 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,66,1343,182,35
Sun,2024/03/03 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,39,2033,10,36
Tue,2024/03/12 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,38,912,2796,37
Sun,2024/03/24 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,65,209,1971,38
Tue,2024/03/12 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,65,1618,195,39
Sat,2024/03/23 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,38,495,1545,40
Tue,2024/03/12 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,38,243,1543,41
Fri,2024/03/01 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,65,3201,13,42
Sat,2024/03/02 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,64,464,1300,43
Tue,2024/03/05 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,38,94,1441,44
Thu,2024/03/28 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,38,150,1324,45
Mon,2024/03/18 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,64,357,1272,46
Sat,2024/03/16 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,64,1692,184,47
Sun,2024/03/24 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,38,294,1323,48
Wed,2024/03/13 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,38,358,1071,49
Thu,2024/03/14 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,63,114,1414,50
Tue,2024/03/12 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,63,168,684,51
Thu,2024/03/28 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,38,85,1004,52
Mon,2024/03/11 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,38,114,963,53
Sat,2024/03/30 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,62,728,1686,54
Wed,2024/03/13 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,62,432,1134,55
Sat,2024/03/09 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,38,632,898,56
Tue,2024/03/12 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,38,1680,301,57
Sat,2024/03/09 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,62,558,958,58
Sun,2024/03/31 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,62,870,859,59
Fri,2024/03/22 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,38,826,292,60
Fri,2024/03/29 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,38,3330,264,61
Sat,2024/03/02 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,61,325,1014,62
Tue,2024/03/19 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,60,2812,219,63
Sat,2024/03/02 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,38,1511,229,64
Fri,2024/03/01 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,60,2555,167,65
Sun,2024/03/10 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,38,750,175,66
Sun,2024/03/31 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,59,1030,866,67
Wed,2024/03/13 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,38,1786,143,68
Sun,2024/03/31 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,58,2096,172,69
Mon,2024/03/18 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,38,3140,109,70
Mon,2024/03/04 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,58,1488,122,71
Mon,2024/03/18 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,38,2877,92,72
Tue,2024/03/05 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,56,225,842,73
