Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,2,46,109,1
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,2,130,102,2
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,2,196,77,3
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,2,15,66,4
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,2,374,17,5
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,2,66,65,6
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,2,1073,38,7
Thu,2023/11/02 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,2,541,14,8
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,2,35,9,9
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,2,285,20,10
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,2,432,16,11
Thu,2023/11/02 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,2,355,6,12
Thu,2023/11/02 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,2,300,6,13
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,2,202,16,14
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,2,350,10,15
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,1,326,985,16
Thu,2023/11/02 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,1,827,410,17
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,2,102,10,18
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,2,490,8,19
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,1,45,156,20
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,1,0,152,21
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,2,680,4,22
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,1,13,781,23
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,1,24,123,24
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,1,20,776,25
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,1,305,105,26
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,264,61,27
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,1,64,498,28
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,1,254,45,29
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,1,517,377,30
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,1,141,39,31
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,1,95,327,32
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,428,258,33
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,350,36,34
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,1,569,25,35
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,1,846,211,36
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,1,352,23,37
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,1,94,199,38
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,1,280,20,39
Thu,2023/11/02 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,1,613,9,40
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,1,23,186,41
Thu,2023/11/02 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,1,126,7,42
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,1,400,159,43
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,1,445,6,44
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,245,5,45
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,1,21,157,46
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,1,142,0,47
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,1,95,82,48
Thu,2023/11/02 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,325,514,49
Thu,2023/11/02 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,0,147,377,50
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,1,574,51,51
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,164,314,52
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,1,47,49,53
Thu,2023/11/02 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,0,634,278,54
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,1,332,34,55
Thu,2023/11/02 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,80,277,56
Thu,2023/11/02 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,32,242,57
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,1,1219,22,58
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,1,530,20,59
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,36,210,60
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,56,203,61
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,1,791,15,62
Thu,2023/11/02 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,699,199,63
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,1,225,14,64
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,519,158,65
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,1,207,14,66
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,0,36,155,67
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,1,224,10,68
Thu,2023/11/02 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,0,122,152,69
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,1,114,10,70
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,34,143,71
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,1,93,8,72
Thu,2023/11/02 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,0,21,137,73
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,1,302,5,74
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,0,92,125,75
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,1,16,5,76
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,5,121,77
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,1,103,4,78
Thu,2023/11/02 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,83,95,79
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,1,29,1,80
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,21,93,81
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,1,56,0,82
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,19,92,83
