Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera 331 Railway Station,139,221,1740,1
Mon,2023/10/01 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,65,258,2800,2
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera 331 Railway Station,106,183,1577,3
Sun,2023/09/30 23:00:00+00,12:00 PM-1:00 PM,Camera 331 Railway Station,66,377,2123,4
Mon,2023/10/01 23:00:00+00,11:00 AM-12:00 PM,Camera 331 Railway Station,65,274,2029,5
Sun,2023/09/30 23:00:00+00,3:00 PM-4:00 PM,Camera 331 Railway Station,60,399,2173,6
Mon,2023/10/01 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,65,425,1104,7
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera 331 Railway Station,63,299,2700,8
Sun,2023/09/30 23:00:00+00,4:00 PM-5:00 PM,Camera 331 Railway Station,55,378,2114,9
Sun,2023/09/30 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,50,335,1978,10
Mon,2023/10/01 23:00:00+00,3:00 PM-4:00 PM,Camera 331 Railway Station,62,291,2116,11
Mon,2023/10/01 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,62,1356,180,12
Sun,2023/09/30 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,45,357,806,13
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,45,960,162,14
Mon,2023/10/01 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,61,728,1019,15
Sun,2023/09/30 23:00:00+00,9:00 AM-10:00 AM,Camera 331 Railway Station,43,86,1144,16
Mon,2023/10/01 23:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,57,729,1935,17
Mon,2023/10/01 23:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,57,1609,1740,18
Sun,2023/09/30 23:00:00+00,2:00 PM-3:00 PM,Camera 331 Railway Station,42,457,2058,19
