Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,97,1830,216,1
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 331 Railway Station,79,353,1802,2
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,64,397,2037,3
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 331 Railway Station,57,602,1910,4
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 331 Railway Station,50,1091,2059,5
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 331 Railway Station,45,1181,2150,6
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,44,1884,172,7
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 331 Railway Station,40,899,2415,8
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 331 Railway Station,38,519,1707,9
Fri,2023/08/31 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,38,2664,124,10
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,37,2938,16,11
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 331 Railway Station,35,831,1867,12
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,35,2685,14,13
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 331 Railway Station,34,1233,2156,14
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,33,2261,175,15
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,33,2490,154,16
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 331 Railway Station,32,311,1307,17
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,32,2379,133,18
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,32,1918,15,19
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,29,660,1051,20
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,29,1322,242,21
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,28,601,2101,22
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,28,315,1137,23
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,28,2987,14,24
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,27,933,2421,25
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,27,564,1312,26
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,27,786,186,27
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,25,496,1173,28
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,24,909,2528,29
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,24,540,1314,30
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,24,2653,9,31
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,23,570,1080,32
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,23,613,221,33
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,23,2425,164,34
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,22,1043,2114,35
