Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Wed,2024/09/24 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,79,404,1509,1
Thu,2024/09/04 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,33,1884,257,2
Sat,2024/09/06 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,77,121,774,3
Sat,2024/09/06 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,33,1581,187,4
Sun,2024/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,33,1498,187,5
Fri,2024/09/05 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,76,3212,125,6
Thu,2024/09/18 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,33,2070,113,7
Wed,2024/09/24 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,76,2865,94,8
Tue,2024/09/02 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,71,2860,206,9
Wed,2024/09/10 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,33,2866,91,10
Tue,2024/09/16 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,33,1493,63,11
Mon,2024/09/01 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,69,64,1364,12
Thu,2024/09/18 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,33,1861,9,13
Mon,2024/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,69,2782,169,14
Mon,2024/09/22 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,32,365,1808,15
Mon,2024/09/22 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,68,372,1277,16
Wed,2024/09/17 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,32,740,1752,17
Sat,2024/09/06 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,67,846,1162,18
Sun,2024/09/28 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,32,810,1458,19
Sat,2024/09/06 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,65,3195,48,20
Fri,2024/09/12 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,32,428,1169,21
Mon,2024/09/01 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,63,102,1423,22
Mon,2024/09/08 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,32,328,1148,23
Mon,2024/09/22 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,63,294,1108,24
Mon,2024/09/15 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,32,588,1056,25
Sat,2024/09/06 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,63,1756,174,26
Fri,2024/09/26 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,32,389,1040,27
Mon,2024/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,62,590,1600,28
Fri,2024/09/19 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,32,235,996,29
Thu,2024/09/04 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,62,936,1159,30
Mon,2024/09/15 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,32,306,932,31
Mon,2024/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,62,486,1120,32
Tue,2024/09/23 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,32,331,896,33
Mon,2024/09/29 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,62,304,954,34
Thu,2024/09/11 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,32,300,842,35
Wed,2024/09/10 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,62,2610,175,36
Sun,2024/09/28 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,32,345,637,37
Tue,2024/09/09 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,61,627,1523,38
Sun,2024/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,32,133,627,39
Thu,2024/09/18 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,61,550,1120,40
Mon,2024/09/22 23:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,32,855,332,41
Mon,2024/09/01 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,60,192,1405,42
Sat,2024/09/27 23:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,32,930,256,43
Mon,2024/09/08 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,60,725,1113,44
Fri,2024/09/05 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,60,2989,121,45
Mon,2024/09/08 23:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,32,717,246,46
Wed,2024/09/24 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,59,411,1449,47
Thu,2024/09/25 23:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,32,839,173,48
Sun,2024/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,59,66,677,49
Sun,2024/09/28 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,32,1140,153,50
Tue,2024/09/16 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,59,1380,137,51
Mon,2024/09/08 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,32,2754,86,52
Tue,2024/09/16 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,59,1445,109,53
Wed,2024/09/03 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,32,1335,15,54
Thu,2024/09/18 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,58,1056,2704,55
Mon,2024/09/01 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,58,128,1532,56
Mon,2024/09/15 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,32,1491,12,57
Sun,2024/09/07 23:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,57,996,2179,58
Fri,2024/09/19 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,57,651,1311,59
Sun,2024/09/14 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,32,1240,12,60
Mon,2024/09/01 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,32,1892,7,61
Mon,2024/09/08 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,57,416,1112,62
Sun,2024/09/14 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,57,1670,157,63
Fri,2024/09/12 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,57,1819,148,64
Fri,2024/09/05 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,57,2085,105,65
Fri,2024/09/05 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,57,3872,95,66
Mon,2024/09/01 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,56,67,1154,67
Wed,2024/09/03 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,56,300,1124,68
Tue,2024/09/16 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,56,223,833,69
Thu,2024/09/11 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,56,1696,133,70
Sat,2024/09/27 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,56,1762,107,71
Mon,2024/09/15 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,56,1558,87,72
Wed,2024/09/24 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,55,956,2283,73
Mon,2024/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,55,435,1442,74
Tue,2024/09/09 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,55,436,1412,75
Wed,2024/09/10 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,55,510,1328,76
Sat,2024/09/27 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,55,487,859,77
Tue,2024/09/16 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,55,509,825,78
