Date,TMAX,TMIN,PRCP
2023-08-01,17.8,13.1,0.0
2023-08-02,19.8,13.5,2.1
2023-08-03,17.3,11.8,0.0
2023-08-04,15.4,11.3,1.6
2023-08-05,17.5,,9.2
2023-08-06,20.0,,3.0
2023-08-07,19.9,9.5,0.0
2023-08-08,19.1,7.7,0.2
2023-08-09,22.8,8.8,0.0
2023-08-10,22.5,14.2,5.0
2023-08-11,20.8,15.8,0.0
2023-08-12,19.7,15.4,11.4
2023-08-13,19.7,13.4,1.1
2023-08-14,20.6,13.5,0.0
2023-08-15,18.4,11.2,0.9
2023-08-16,17.7,13.9,0.2
2023-08-17,,14.6,0.0
2023-08-18,20.9,13.2,9.7
2023-08-19,21.8,13.4,0.0
2023-08-20,21.5,14.0,0.0
2023-08-21,21.4,14.3,0.6
2023-08-22,18.0,15.6,0.7
2023-08-23,19.5,9.3,3.6
2023-08-24,17.9,12.1,0.0
2023-08-25,18.5,8.9,0.0
2023-08-26,18.3,,0.8
2023-08-27,18.6,,4.8
2023-08-28,18.2,8.5,0.0
2023-08-29,19.0,10.5,0.0
2023-08-30,17.9,7.7,0.0
2023-08-31,17.8,7.5,0.0
2023-09-01,22.4,9.9,0.0
2023-09-02,22.9,,0.0
2023-09-03,24.2,,0.0
2023-09-04,20.8,,0.0
2023-09-05,19.9,9.9,0.0
2023-09-06,22.4,14.0,0.0
2023-09-07,25.0,12.0,0.0
2023-09-08,24.7,13.5,0.0
2023-09-09,22.7,,0.0
2023-09-10,20.5,,21.4
2023-09-11,17.4,12.5,0.0
2023-09-12,15.6,8.2,0.0
2023-09-13,18.3,5.5,1.8
2023-09-14,14.5,10.6,0.0
2023-09-15,15.5,9.8,13.2
2023-09-16,14.9,9.2,0.0
2023-09-17,16.0,6.8,9.0
2023-09-18,,11.0,1.9
2023-09-19,19.3,6.9,4.7
2023-09-20,15.9,9.4,0.2
2023-09-21,15.4,9.2,0.0
2023-09-22,,8.2,0.0
2023-09-23,18.3,6.9,1.2
2023-09-24,18.8,9.3,2.5
2023-09-25,16.7,12.4,0.0
2023-09-26,15.1,11.4,0.5
2023-09-27,15.6,6.3,9.4
2023-09-28,16.9,11.1,0.5
2023-09-29,,11.2,0.0
2023-09-30,18.6,7.7,2.1
2023-10-01,13.6,8.9,0.5
2023-10-02,16.2,8.0,0.0
2023-10-03,13.8,8.2,1.1
2023-10-04,16.2,8.2,0.0
2023-10-05,18.0,6.0,5.1
2023-10-06,11.0,10.5,28.3
2023-10-07,14.6,9.5,56.3
2023-10-08,17.6,8.5,5.4
2023-10-09,18.0,8.1,0.0
2023-10-10,13.1,12.8,0.0
2023-10-11,12.0,7.3,0.0
2023-10-12,13.2,2.8,0.1
2023-10-13,10.8,,0.0
2023-10-14,11.7,2.6,0.0
2023-10-15,11.5,1.1,0.2
2023-10-16,11.7,1.8,0.0
2023-10-17,12.9,-0.5,0.0
2023-10-18,11.7,4.0,15.5
2023-10-19,9.1,9.6,89.1
2023-10-20,9.6,7.3,23.4
2023-10-21,12.8,5.9,1.0
2023-10-22,10.8,1.0,0.0
2023-10-23,11.1,-1.0,4.5
2023-10-24,9.9,3.2,0.9
2023-10-25,11.2,4.9,2.1
2023-10-26,10.9,5.9,29.4
2023-10-27,11.2,7.2,16.5
2023-10-28,11.6,9.0,7.9
2023-10-29,9.9,9.5,6.1
2023-10-30,9.6,5.6,0.0
2023-10-31,10.2,5.3,7.5
2023-11-01,10.0,4.0,7.7
2023-11-02,12.7,3.2,0.3
2023-11-03,,7.3,1.4
2023-11-04,10.6,,0.6
2023-11-05,10.8,,0.0
2023-11-06,12.1,3.3,0.2
2023-11-07,10.1,5.6,2.2
2023-11-08,8.9,3.0,0.8
2023-11-09,7.9,0.7,0.0
2023-11-10,9.6,-1.6,0.2
2023-11-11,9.0,0.5,0.0
2023-11-12,9.0,-0.1,7.7
2023-11-13,8.4,-0.1,27.3
2023-11-14,8.0,6.1,19.6
2023-11-15,6.8,6.1,1.1
2023-11-16,,,0.0
2023-11-17,10.8,3.9,2.4
2023-11-18,12.9,,9.6
2023-11-19,12.5,,0.2
2023-11-20,12.0,8.3,0.0
2023-11-21,14.4,3.8,0.0
2023-11-22,13.1,,0.0
2023-11-23,6.7,11.5,0.0
2023-11-24,4.6,4.1,0.0
2023-11-25,4.3,,0.0
2023-11-26,8.4,,0.0
2023-11-27,4.8,,2.4
2023-11-28,3.6,1.1,0.0
2023-11-29,4.5,-0.7,0.0
2023-11-30,2.2,-0.7,0.0
2023-12-01,-0.7,-3.2,0.0
2023-12-02,4.3,-4.8,0.0
2023-12-03,5.7,-4.2,11.1
2023-12-04,4.5,-2.2,1.6
2023-12-05,6.1,2.8,0.0
2023-12-06,6.9,-3.3,1.1
2023-12-07,8.5,-4.0,14.6
2023-12-08,8.3,5.9,5.2
2023-12-09,7.1,5.5,5.8
2023-12-10,6.8,0.9,2.0
2023-12-11,7.1,3.4,5.6
2023-12-12,6.0,5.4,12.3
2023-12-13,8.5,,1.3
2023-12-14,11.3,2.7,0.1
2023-12-15,11.3,5.2,0.0
2023-12-16,12.6,8.8,0.0
2023-12-17,12.6,10.1,0.0
2023-12-18,7.7,10.4,0.0
2023-12-19,12.0,3.8,0.0
2023-12-20,9.5,3.8,0.4
2023-12-21,8.9,4.7,1.2
2023-12-22,12.1,6.4,14.3
2023-12-23,10.3,3.5,3.6
2023-12-24,4.8,2.8,0.0
2023-12-25,6.3,0.4,3.4
2023-12-26,8.8,0.4,14.8
2023-12-27,8.3,-4.0,22.5
2023-12-28,5.3,3.4,19.9
2023-12-29,6.8,3.0,0.1
2023-12-30,8.1,-0.4,9.2
2023-12-31,6.8,-1.0,0.2
2024-01-01,7.4,,9.6
2024-01-02,7.3,,6.4
2024-01-03,7.3,5.7,9.3
2024-01-04,6.4,6.0,9.3
2024-01-05,5.6,6.0,0.0
2024-01-06,2.5,0.2,0.0
2024-01-07,2.9,0.1,0.0
2024-01-08,3.9,-1.5,1.2
2024-01-09,6.0,,0.0
2024-01-10,4.5,1.1,0.0
2024-01-11,5.0,2.2,0.2
2024-01-12,5.8,,0.0
2024-01-13,3.7,,0.0
2024-01-14,1.2,1.2,0.0
2024-01-15,1.2,,0.0
2024-01-16,0.4,-1.4,0.9
2024-01-17,1.7,-3.8,0.0
2024-01-18,5.2,-3.2,0.0
2024-01-19,8.7,,1.2
2024-01-20,11.6,,1.0
2024-01-21,6.2,,10.0
2024-01-22,12.0,4.7,3.2
2024-01-23,10.3,4.7,12.3
2024-01-24,10.7,,0.0
2024-01-25,8.5,3.2,4.6
2024-01-26,9.7,,0.0
2024-01-27,11.3,,0.0
2024-01-28,5.7,,0.0
2024-01-29,7.4,,0.0
2024-01-30,8.7,,0.0
2024-01-31,11.2,,2.1
2024-02-01,13.8,5.3,0.0
2024-02-02,9.3,,0.0
2024-02-03,10.1,,0.0
2024-02-04,10.7,,1.0
2024-02-05,7.4,7.4,1.0
2024-02-06,5.9,,0.0
2024-02-07,4.2,0.6,0.0
2024-02-08,4.2,-2.8,3.1
2024-02-09,6.3,,9.8
