Model,RMSE
308_murraygate_number_of_bicycles,12.9788
308_murraygate_number_of_people,1227.2638
308_murraygate_number_of_road_vehicles,24.5654
310_seagate_number_of_bicycles,4.8141
310_seagate_number_of_people,532.5124
310_seagate_number_of_road_vehicles,223.2443
317_reform_st_number_of_bicycles,14.7912
317_reform_st_number_of_people,1173.5692
317_reform_st_number_of_road_vehicles,82.7513
320_westport_number_of_bicycles,7.7912
320_westport_number_of_people,306.4055
320_westport_number_of_road_vehicles,905.0975
323_union_street_number_of_bicycles,7.2958
323_union_street_number_of_people,524.2356
323_union_street_number_of_road_vehicles,132.8715
328_south_marketgait_number_of_bicycles,11.9826
328_south_marketgait_number_of_people,527.3030
328_south_marketgait_number_of_road_vehicles,984.6025
331_railway_station_number_of_bicycles,NA
331_railway_station_number_of_people,NA
331_railway_station_number_of_road_vehicles,NA
332_waterfront_number_of_bicycles,8.8359
332_waterfront_number_of_people,86.0193
332_waterfront_number_of_road_vehicles,374.5984
500_hilltown_number_of_bicycles,21.3555
500_hilltown_number_of_people,246.2985
500_hilltown_number_of_road_vehicles,605.3159
